"Input";"Coordinates"
"Singapore Wings of Times , Sentosa Island , Singapore";"1.2513208,103.81708860000003"
"Singapore Zoukout@sentosa";"1.2494041,103.83032090000006"
"Singapore SUTD";"1.3402914,103.96316360000003"
"Singapore Expo Max Pavillion";"1.3388583,103.96279690000006"
"Singapore Amazon River";"1.4029491,103.79174109999997"
"Singapore Singapore University Of Technology And Design";"1.3402914,103.96316360000003"
"Singapore Max Pavillion Concert Hall";"1.3388583,103.96279690000006"
"Singapore Aria";"1.2836772,103.85248590000003"
"Singapore Changi Court";"1.3434548,103.96298720000004"
"Singapore SUTD 101";"1.3402914,103.96316360000003"
"Singapore Eightrium @ Changi Business Park";"1.337692,103.96462399999996"
"Singapore Changi Court Condominum";"1.3434548,103.96298720000004"
"Singapore Rohde &amp";"1.3757859,103.97514219999994"
" Schwarz Asia Pte Ltd";"1.3386336,103.96497239999997"
"Singapore Food &amp";"1.2800329,103.84711199999992"
" Hotel Asia 2016";"35.6704187,139.72805649999998"
"Singapore Changi Court Condo";"1.3434548,103.96298720000004"
"Singapore Expo Hall 8";"1.3335251,103.95953699999995"
"Singapore Max Pavilion Hall 10";"1.3388583,103.96279690000006"
"Singapore SUTD Changi Campus";"1.3402914,103.96316360000003"
"Singapore Maxpavillion";"1.3388583,103.96279690000006"
"Singapore Changi Court Condominium";"1.3434548,103.96298720000004"
"Singapore Xilinx Asia Pacific";"1.337764,103.96590509999999"
"Singapore Singapore Expo Hall 9";"1.3388409,103.96219889999998"
"Singapore The Eightrium";"1.337692,103.96462399999996"
"Singapore Anirudh Live Concert in Singapore Expo";"1.3335251,103.95953699999995"
" ERROR! Input:Singapore Tiger Airways Office @ Honeywell"
"Singapore Tigerair";"1.3544859,103.9892274"
"Singapore KLCC Kuala Lumpur";"3.1616017,101.69514679999997"
"Singapore Xilinx";"1.337764,103.96590509999999"
"Singapore Nestle Singapore";"1.3378985,103.96447339999997"
"Singapore Max Pavilion Hall 10";"1.3388583,103.96279690000006"
"Singapore Nespresso @ Eightrium Changi Business Park";"1.337692,103.96462399999996"
"Singapore Honeywell";"1.324084,103.676334"
" ERROR! Input:Singapore Brians Bakes"
"Singapore Gourmet Habitat";"1.3421298,103.96419700000001"
"Singapore Changi Bethany/Hope Presbyterian Church";"1.3417248,103.96195769999997"
"Singapore Changi Bethany Church  ??????";"1.3416619,103.96195480000006"
" ERROR! Input:Singapore Crescendo Concert at the Max Pavilion"
"Singapore Max Pavillon Expo Singapore";"1.3388583,103.96279690000006"
"Singapore Olearys Sports Bar and Grill - Changi Airport Terminal 1";"1.362159,103.990051"
"Singapore Schneider Electric 15 Changi Business Park Central";"1.3372551,103.96417859999997"
"Singapore Spinelli @ The IBM Place";"1.3365545,103.9652132"
"Singapore Rohde &amp";"1.3757859,103.97514219999994"
" Schwarz @ Changi Bunsines Park";"1.3386336,103.96497239999997"
"Singapore Bangkok, Thailand.";"1.2935996,103.83161159999997"
"Singapore Learning Vision @ Changi Business Park";"1.337692,103.96462399999996"
"Singapore ASUS Technology, Changi Business Park";"1.3377775,103.96452620000002"
"Singapore DLeedon Condominium, Farrer Road Singapore";"1.3160332,103.80584679999993"
"Singapore Spanish Village";"1.3145869,103.80578049999997"
"Singapore Sommerville Park";"1.3109789,103.80644030000008"
"Singapore Pantai Ayah- Logending";"-7.727782999999999,109.3940288"
" ERROR! Input:Singapore Zoukout 2014"
"Singapore Waterfall Gardens, Singapore";"1.3119791,103.80480950000003"
"Singapore Cloud Forest Conservatory, Gardens By The Bay";"1.2815683,103.86361320000003"
"Singapore Home sweet home";"1.304377,103.83388000000002"
"Singapore COMO Dempsey";"1.3057187,103.81020430000001"
"Singapore Tulip Garden Condo";"1.3129518,103.80354119999993"
"Singapore Queensway";"1.2966335,103.79996670000003"
"Singapore Gallop Gables";"1.3161173,103.80710339999996"
"Singapore Club Street";"1.2822907,103.84604739999997"
"Singapore Duet";"1.3110888,103.80433970000001"
"Singapore Sutton Place";"1.313037,103.80551889999992"
"Singapore Botanical Garden, Holland Rd, Singapore";"1.3117595,103.81475009999997"
"Singapore Savuer At Far East Plaza";"1.3072613,103.83326"
"Singapore Franciscan Missionaries of Mary";"1.3078983,103.80899249999993"
"Singapore The Level Z Condo@Farrer Road";"1.3137627,103.80503060000001"
"Singapore Etude House wisma";"1.3038205,103.83334379999997"
"Singapore Maris Stella Kindergarten";"1.3093926,103.80431810000005"
"Singapore Maris Stella Kindergarten";"1.3087778,103.80872079999995"
"Singapore Tulip Garden";"1.3129518,103.80354119999993"
"Singapore Holland Vilage";"1.3111618,103.79612589999999"
"Singapore Woollerton Park, Singapore";"1.3172445,103.80901140000003"
"Singapore Taman Nakhoda";"1.3113272,103.80769980000002"
" ERROR! Input:Singapore Holland Gems, Taman Nakhoda"
"Singapore Verdure Condominium";"1.3093782,103.8071794"
"Singapore Captions";"1.3692679,103.84894629999997"
"Singapore Leedon Heights";"1.3144121,103.8026367"
"Singapore Ghim Moh Market";"1.3110908,103.78828099999998"
" ERROR! Input:Singapore Dleedon Penthouse"
"Singapore Wilshire";"1.3128519,103.80472899999995"
"Singapore Farrer Road Market";"1.316261,103.80567599999995"
