"Input";"Coordinates"
"Singapore Qian Hu Fish Farm";"1.385036,103.72165799999993"
"Singapore Mowbray Camp";"1.3970232,103.74096150000003"
"Singapore Qian Hu Accessories";"1.385036,103.72165799999993"
"Singapore Toh Garden";"1.387183,103.72899400000006"
"Singapore ACRES: Animal Concerns Research and Education Society (Singapore)";"1.406025,103.75837100000001"
"Singapore Kok Fah Technology Farm";"1.394359,103.72820000000002"
"Singapore Orchid Ville";"1.3882292,103.73158349999994"
"Singapore Kok Fah Technology Farm Pte Ltd";"1.394359,103.72820000000002"
"Singapore Qian Hu Fish Farm Jln Lekar";"1.385036,103.72165799999993"
"Singapore Forrest@Orchidville";"1.3882292,103.73158349999994"
" ERROR! Input:Singapore Greenfingers Orchids and Exotics"
"Singapore Koh Fah Vegetable Farm";"1.394359,103.72820000000002"
"Singapore Pond Paradise";"1.4130099,103.82954189999998"
"Singapore Woon Leng Nursery";"1.384682,103.72466299999996"
"Singapore Qian Hu";"1.385036,103.72165799999993"
"Singapore Acres";"1.3860181,103.72465669999997"
"Singapore Sungei Tengah";"1.3878437,103.73142459999997"
"Singapore Qian Hu Fish Gallery@Lim Chu Kang";"1.385036,103.72165799999993"
"Singapore SAF Detention Barrack";"1.3970476,103.73909960000003"
" ERROR! Input:Singapore PIONEER Landscape Pte Ltd"
"Singapore Toh Orchids";"1.39135,103.73240699999997"
"Singapore Lorong Kebasi";"1.3959549,103.74006450000002"
"Singapore Sungei Tengah 96";"1.395717,103.72989499999994"
"Singapore Qian Hu Fish farm, Singapore";"1.385036,103.72165799999993"
"Singapore Detention Barracks";"1.3970476,103.73909960000003"
"Singapore Ama Keng Area";"1.403789,103.70257590000006"
"Singapore Kor Fah Technological Farm";"1.394359,103.72820000000002"
"Singapore Qian Hu Fish Gallery";"1.385036,103.72165799999993"
" ERROR! Input:Singapore City Garden Pte Ltd @ Cck"
"Singapore Qian Hu Corporation";"1.385036,103.72165799999993"
"Singapore Sungei Tengah Rd";"1.3878437,103.73142459999997"
"Singapore Siloso Beach";"1.2545582,103.81477870000003"
"Singapore Orchird Ville";"1.3882292,103.73158349999994"
"Singapore Weekend Farm";"1.394359,103.72820000000002"
"Singapore 21Sa Kranji Camp 2";"1.3986495,103.74295970000003"
"Singapore Track 14";"1.3765322,103.72525050000002"
"Singapore SAF Detention Barracks";"1.3970476,103.73909960000003"
"Singapore 80 Sungei Tengah";"1.3864939,103.73219599999993"
"Singapore OETI";"1.4028241,103.7430114"
"Singapore Orchardville Singapore";"1.3882292,103.73158349999994"
"Singapore ???";"1.352083,103.81983600000001"
"Singapore Lim Chu Kang Qian Hu";"1.385036,103.72165799999993"
" ERROR! Input:Singapore PAWPY Paradise"
"Singapore 94 Sungei Tengah Road";"1.395244,103.72953299999995"
"Singapore Choa Chu Kang Way";"1.3935424,103.74144649999994"
"Singapore Guppy Galaxy";"1.395717,103.72989499999994"
"Singapore Tan Gin Sai Fish Farm";"1.3911065,103.73109150000005"
"Singapore It Meng Nursery And Landscapes";"1.379644,103.72431400000005"
"Singapore 40 Tiang";"1.4304941,103.7173325"
"Singapore 40 Tiang";"1.3689936,103.87270260000003"
"Singapore Sunnyville";"1.403468,103.70226200000002"
"Singapore Ama Keng Rd";"1.4035921,103.70239709999998"
"Singapore Ama Keng, Singapore";"1.4035921,103.70239709999998"
" ERROR! Input:Singapore Carnation Ward"
" ERROR! Input:Singapore Lim Chu Kang Road (Emergency Strip)"
"Singapore Sunnyville Home";"1.403468,103.70226200000002"
" ERROR! Input:Singapore Lily Ward"
"Singapore Gold Land";"1.335913,103.89492300000006"
"Singapore Chews Agricultural Farm";"1.392559,103.69624090000002"
"Singapore Chews Farm";"1.392559,103.69624090000002"
"Singapore Ama Keng Village, Singapore";"1.4035921,103.70239709999998"
"Singapore Tengah Airbase SUPER GATE";"1.3866037,103.70801929999993"
"Singapore Ama Keng";"1.4035921,103.70239709999998"
"Singapore Hay Dairies Farm";"1.431605,103.70990010000003"
"Singapore Old Lim Chu Kang Road";"1.3863866,103.70126529999993"
"Singapore 21 Murai Farmway";"1.39311,103.69580999999994"
" ERROR! Input:Singapore lim chu kang (40 tiang)"
"Singapore Chews";"1.392559,103.69624090000002"
"Singapore Mexcon";"1.298592,103.84893999999997"
"Singapore Just Like It";"1.25616,103.82004230000007"
"Singapore AMK Hub";"1.3693447,103.84849059999999"
"Singapore Ang Mo Kio, Singapore";"1.3691149,103.8454342"
"Singapore Nex";"1.3507722,103.8722242"
"Singapore Canopy Garden Dining";"1.3622902,103.84741329999997"
"Singapore Canopy Garden Dining";"1.3622902,103.84741329999997"
"Singapore Twenty Grammes";"1.3724942,103.85584790000007"
"Singapore Bishan park";"1.3634088,103.8435614"
"Singapore The Cornerstone";"1.362456,103.84711199999992"
"Singapore AMK Hub";"1.3693447,103.84849059999999"
"Singapore Eighteen Chefs At Amk Hub";"1.3693277,103.84889539999995"
"Singapore Fish &amp";"1.303565,103.83553589999997"
" Chicks";"38.911507,-75.56788699999998"
"Singapore Ang Mo Kio";"1.3691149,103.8454342"
"Singapore Arab Street,Singapore";"1.3025027,103.85796920000007"
"Singapore Ang Mo Kio Avenue 10 , Singapore";"1.3623506,103.84861330000001"
"Singapore Ang Mo Kio Avenue 10 , Singapore";"1.366942,103.85659599999997"
"Singapore Fitness First - Ang Mo Kio Hub";"1.3697323,103.84870649999993"
"Singapore McDonalds� Ang Mo Kio";"1.3723611,103.84480099999996"
"Singapore McDonalds Bishan Park";"1.3608722,103.84641599999998"
"Singapore Nakhon Kitchen";"1.3595496,103.88840930000003"
"Singapore Fish &amp";"1.303565,103.83553589999997"
" Co @ Ang Mo Kio Hub";"1.3690898,103.84895469999992"
"Singapore Ichiban Sushi Ang Mo Kio";"1.3692146,103.84915820000003"
"Singapore Cathay Cineplex @ AMK Hub";"1.3694279,103.84838050000008"
"Singapore Ang Mo Kio Central Market and Food Centre";"1.3721212,103.84667809999996"
"Singapore Swensens at AMK Hub";"1.371438,103.84791500000006"
"Singapore Grandeur 8";"1.3692068,103.84798269999999"
"Singapore Grandeur 8";"1.376487,103.846949"
"Singapore Buddy Hoagies Nee Soon South Community Centre";"1.4150998,103.83539310000003"
"Singapore Balerang Bridge";"1.307456,103.82899599999996"
" ERROR! Input:Singapore Collins At Jubilee Square"
"Singapore Collins At Jubilee Square";"1.3717632,103.84756449999998"
"Singapore Next Door Deli";"1.39236,103.89496150000002"
"Singapore Fruit Paradise AMK Hub";"1.3690184,103.8481008"
"Singapore MOF@AMK Hub";"1.3694601,103.84897120000005"
"Singapore Ang Mo Kio Hub, Singapore";"1.3693447,103.84849059999999"
"Singapore Canton Paradise Amk Hub";"1.369059,103.84807899999998"
"Singapore The Pine Garden";"1.3723226,103.85519720000002"
"Singapore Anderson Secondary School";"1.374639,103.85103090000007"
"Singapore Fish and Co. at AMK";"1.3690898,103.84895469999992"
"Singapore Centro Residences at Ang Mo Kio";"1.3705373,103.84870879999994"
"Singapore Anderson Secondary School";"1.374639,103.85103090000007"
"Singapore Anderson Secondary School";"1.3691014,103.84777009999993"
"Singapore 21 CUBE Artisan Ice Cream Ang Mo Kio";"1.370649,103.84802100000002"
"Singapore Gel�re Ang Mo Kio Hub";"1.3693447,103.84849059999999"
"Singapore Jacks Place @ AMK";"1.373514,103.84571000000005"
"Singapore Deyi Secondary School";"1.366107,103.85233199999993"
"Singapore Ajisen Ramen @ AMK Hub";"1.3690619,103.84794199999999"
"Singapore True Fitness, Djitsun Mall At AMK";"1.372882,103.847666"
"Singapore SP Design School";"1.307654,103.78137400000003"
"Singapore Dover Crescent";"1.3061538,103.78284250000002"
"Singapore Anglo-Chinese Junior College";"1.3031354,103.78510900000003"
"Singapore Heritage View Condominium";"1.3037596,103.78389900000002"
"Singapore Anglo-Chinese School";"1.3027021,103.78055240000003"
"Singapore Wah Chee";"1.3042349,103.78245059999995"
"Singapore Singapore Maritime Academy";"1.3090445,103.78132440000002"
"Singapore Anglo-Chinese School (Independent)";"1.3027021,103.78055240000003"
"Singapore Tanjong Pagar Railway";"1.3342881,103.78114260000007"
"Singapore Dover, Singapore";"1.311322,103.77865320000001"
"Singapore Singapore Arts Museum";"1.2973072,103.85106150000001"
"Singapore ACJC Mrs Lee Choon Guan Theatre";"1.318654,103.73538299999996"
"Singapore St. Johns - St. Margarets Church (Anglican)";"1.306707,103.78230000000008"
"Singapore Dover Parkview Condomium";"1.3037596,103.78389900000002"
"Singapore Anglo-Chinese Junior College";"1.3031354,103.78510900000003"
"Singapore Faith Centre for Performing Arts, ACJC";"1.3031354,103.78510900000003"
"Singapore Singapore Polytechnic W5A Studio";"1.3082507,103.77969869999993"
"Singapore Singapore Polytechnic Main Library";"1.3112829,103.77441870000007"
"Singapore Kota Singapura";"1.3644202,103.99153079999996"
"Singapore Dover Home";"1.3092179,103.77674550000006"
"Singapore SEA Aquarium, Sentosa Island, Singapore";"1.258305,103.82047"
"Singapore Anglo-Chinese School (Independent) St John Ambulance Brigade";"1.3027021,103.78055240000003"
"Singapore ACSI";"1.3027021,103.78055240000003"
"Singapore Dover Gardens";"1.3064237,103.78290420000008"
"Singapore ACJC Theatre";"1.3031354,103.78510900000003"
"Singapore ACS(I)";"1.3027021,103.78055240000003"
"Singapore Holland Daily Scoop";"1.310462,103.7964571"
"Singapore Dover XO Fish Head Bee Hoon";"1.3040632,103.78265499999998"
"Singapore Park Royal Hotel, Beach Road";"1.300185,103.86067800000001"
"Singapore Blk 3 Dover Road";"1.303882,103.78212400000007"
"Singapore Dover Road";"1.3046715,103.78047040000001"
"Singapore Food Court 2";"1.3089718,103.78114729999993"
"Singapore acjc Fun O Rama";"1.3031354,103.78510900000003"
"Singapore aidha";"1.3030814,103.85942490000002"
"Singapore Blk 28A Dover Cresent";"1.3050505,103.78217130000007"
"Singapore Heritage View, Singapore";"1.3037596,103.78389900000002"
"Singapore Dover Rise";"1.3046985,103.78485049999995"
"Singapore Yih Student Lounge";"1.298545,103.77465600000005"
"Singapore SP Optometry Centre";"1.308536,103.78168499999992"
"Singapore Aware";"1.304102,103.78255719999993"
"Singapore Blk 17 Dover Crescent";"1.3072999,103.78285000000005"
" ERROR! Input:Singapore Foodcourt 2 Singapore Polytechnic"
"Singapore Foodcourt 2 Singapore Polytechnic";"1.3089718,103.78114729999993"
"Singapore 2 Dover Road";"1.5705556,103.56555559999993"
"Singapore 2 Dover Road";"1.302811,103.782692"
"Singapore C.O.L.O.U.R.S @ Singapore Polytechnic";"1.3082507,103.77969869999993"
"Singapore Blk 28b Dover Crescent";"1.305328,103.781833"
"Singapore ACS Independent";"1.3027021,103.78055240000003"
"Singapore Raffles Country Club, Singapore";"1.335269,103.65192000000002"
"Singapore Coca-Cola Singapore Beverages";"1.335062,103.648866"
