"Input";"Coordinates"
"Singapore Paya Lebar Fire Station";"1.334223,103.89357240000004"
"Singapore Zervex @ No 8 Ubi Rd 2";"1.3377152,103.89068079999993"
"Singapore Zervex @ No 8 Ubi Rd 2";"1.3339411,103.89522790000001"
"Singapore Old Trafford Stadium, Manchester, England";"53.4630589,-2.2913401000000704"
"Singapore Singapore Civil Defence Force";"1.3338577,103.89262699999995"
"Singapore Ubi Avenue 4";"1.334045,103.89407299999993"
"Singapore Home-Fix Singapore";"1.2906366,103.8581977"
"Singapore Ubi Avenue 1";"1.3264021,103.8987505"
"Singapore Defu Lane 12 ???";"1.3405347,103.895715"
"Singapore Singtel Kim Chuan DataCenter";"1.339337,103.889632"
"Singapore Mount Vernon, Singapore";"1.3400279,103.8759162"
"Singapore Driving Centre @ Ubi";"1.3357438,103.89668319999998"
"Singapore SCDF Paya lebar HQ";"1.35801,103.92957189999993"
"Singapore Pratunam";"1.3037457,103.90406150000001"
"Singapore Comfort Delgro Driving Centre @ Ubi";"1.3357438,103.89668319999998"
"Singapore 9 kakit bukit road 2 Gordon Warehouse Building";"1.3378791,103.89722230000007"
"Singapore Mazda Ubi";"1.3350673,103.89834889999997"
"Singapore Singapore City";"1.3553794,103.86774439999999"
" ERROR! Input:Singapore Policy Page Support"
"Singapore Blum South East Asia";"1.3348321,103.89614159999996"
"Singapore Deutsche Telekom Centre";"1.337098,103.89299789999995"
"Singapore ??? - ??????????";"1.352083,103.81983600000001"
"Singapore SKM";"1.44321,103.780936"
"Singapore Kaki Bukit Rd 2";"1.3374533,103.89834700000006"
"Singapore Hougang Sports Hall";"1.3705837,103.88820970000006"
"Singapore Tai Seng Drive";"1.3381206,103.89381690000005"
"Singapore Kim Chuan Telecommunications Complex";"1.339337,103.889632"
"Singapore Sunway lagoon KUALA LUMPUR";"3.068987,101.60585000000003"
"Singapore 91 Ubi Ave 4 DART BASE";"1.3341993,103.89360120000003"
"Singapore First East Centre";"1.3385918,103.89910540000005"
"Singapore @ Kah motor (Honda) Ubi";"1.3354878,103.8976103"
"Singapore ???";"1.352083,103.81983600000001"
"Singapore Eu Yan Sang ???";"1.354371,103.98516999999993"
"Singapore Jia Xiang Mian ???";"1.2645946,103.82139800000004"
"Singapore Sungai Petani Kedah";"5.6144387,100.50432439999997"
"Singapore Bikeworkz";"1.3386133,103.89912630000003"
"Singapore Octopus Building";"1.33448,103.89708100000007"
"Singapore Dhl Express Country Office";"1.3254638,103.72457250000002"
"Singapore Spireworks";"1.3378015,103.89718049999999"
"Singapore Marina Garden Drive";"1.2802882,103.8657604"
"Singapore Racing World";"1.3341712,103.89553249999994"
"Singapore Ruby Warehouse Complex";"1.3376989,103.89837829999999"
" ERROR! Input:Singapore Chinta Weddings Pte Ltd at No 8 Kaki Bukit Rd 2 Ruby Warehouse Complex"
"Singapore Kranji Countryside Farmers Market";"1.4197843,103.71883290000005"
"Singapore Gardenasia";"1.4407939,103.7287877"
"Singapore Kranji Countryside";"1.4197843,103.71883290000005"
"Singapore Kranji Sanctuary Golf Club";"1.4253923,103.7300007"
"Singapore Kranji Reservoir Park";"1.4397126,103.73779309999998"
"Singapore Kin Yan Agrotech";"1.439007,103.72930100000008"
"Singapore Kranji Dam";"1.4244898,103.7390537"
"Singapore Bistro @ Gardenasia";"1.4407939,103.7287877"
"Singapore Kranji NSRCC";"1.4253923,103.7300007"
"Singapore Kranji Beach Battle Site";"1.4244898,103.7390537"
"Singapore Aunties Pond At Neo Tiew Cres";"1.4444774,103.72907329999998"
"Singapore Sungei Buloh Wetland Reserve, Singapore";"1.4467195,103.73014890000002"
"Singapore Aunties Fishing Pond";"1.4444774,103.72907329999998"
"Singapore Max Koi Farm";"1.4392554,103.72529650000001"
"Singapore Neo Tiew Crescent";"1.440509,103.72795169999995"
"Singapore Coral Farm";"1.4415579,103.72063100000003"
"Singapore Kranji Wetland Reserve";"1.4467195,103.73014890000002"
"Singapore Nsrcc Kranji Sanctuary Golf Course";"1.4253923,103.7300007"
"Singapore Ah Lim Fishing Pond";"1.4420778,103.7285597"
"Singapore NSRCC-Kranji Sanctuary GOLF Course";"1.4253923,103.7300007"
"Singapore Garden Asia @ Kranji";"1.4407939,103.7287877"
"Singapore National Service Resort &amp";"1.3179053,103.97422319999998"
" Country Club";"40.63755219999999,-112.29616229999999"
"Singapore The Nyee Phoe";"1.4408131,103.7286904"
"Singapore Hausmann Marketing Aquarium";"1.4441201,103.72906560000001"
"Singapore Nyee Phoe Flower Garden";"1.4408131,103.7286904"
"Singapore Kranji Beach";"1.4244898,103.7390537"
"Singapore Kranji Fishing Ground B";"1.4244898,103.7390537"
"Singapore Khai Seng Fresh Fish Farm";"1.4323857,103.72416210000006"
" ERROR! Input:Singapore SIS Singapore - LCK"
"Singapore Pedals And Leaves Bistro At Gardenasia";"1.4408131,103.7286904"
"Singapore Gardenasia Weddings";"1.441461,103.72978599999999"
"Singapore Aero Green Farm";"1.2943579,103.85820940000008"
"Singapore Sungei Buloh Wetland Reserve Extension";"1.4467195,103.73014890000002"
"Singapore GT Pond";"1.4444774,103.72907329999998"
"Singapore Tropical Aeroponics Farm";"1.4198132,103.82629040000006"
"Singapore Nyee Phoe Gardens";"1.4408131,103.7286904"
"Singapore Neo Tiew Cresent";"1.440509,103.72795169999995"
"Singapore Singgah selalu JB";"1.5469119,103.62247990000003"
"Singapore Turut Track.";"1.4226452,103.72647410000002"
"Singapore Khaiseng Fish Farm";"1.4323857,103.72416210000006"
"Singapore Petrie Condominium at Johor Bahru";"1.4615327,103.73482319999994"
"Singapore 70 Lim Chu Kang Lane 6F";"1.4423182,103.721589"
"Singapore 220 Neo tiew crescent";"1.438503,103.72736600000007"
"Singapore Sugei Gedong Camp";"1.4187312,103.69892219999997"
"Singapore Bbc World Service Far Eastern Relay Station";"1.4201524,103.72783189999996"
"Singapore Kinyan Agrotech Organic Farming";"1.439007,103.72930100000008"
"Singapore Ah lim Fishing pond";"1.4420778,103.7285597"
"Singapore Crab Farm";"1.4423145,103.72144379999997"
"Singapore West Mall";"1.3501199,103.74921410000002"
"Singapore Civil Service Club Bukit Batok";"1.352618,103.74939799999993"
"Singapore Bukit Batok Central";"1.3502895,103.74980400000004"
"Singapore Disneyland Tokyo Japan";"35.6328964,139.88039430000003"
"Singapore Cathay Cinema West Mall";"1.3501443,103.74909960000002"
"Singapore Ar Raudah Mosque, Bukit Batok";"1.3517614,103.75584470000001"
"Singapore Bukit Batok Street 31";"1.3595193,103.7493538"
"Singapore Hillgrove Secondary School";"1.3531321,103.75317429999996"
"Singapore McDonalds Bukit Batok";"1.3495755,103.75025310000001"
"Singapore The Coffee Bean &amp";"1.275896,103.84591699999999"
" Tea Leaf";"42.9924202,-78.80458190000002"
"Singapore Westwood Bowl";"1.3524735,103.74963379999997"
"Singapore Bukit Batok Community Club";"1.363902,103.75231499999995"
"Singapore Gymboxx XL Bukit Batok CSC";"1.3499251,103.85084219999999"
"Singapore Bukit Batok Bus Interchange";"1.3499935,103.75106189999997"
"Singapore Bukit View Secondary School";"1.346088,103.75266199999999"
"Singapore The Madeira";"1.3574466,103.74958119999997"
"Singapore Pit Of Hell";"1.285506,103.783144"
"Singapore ArtScience Museum Marina Bay Sands";"1.2862738,103.85926629999994"
"Singapore Dads Corner";"1.4398084,103.78837150000004"
"Singapore llaollao Singapore";"1.2932484,103.85188340000002"
"Singapore Habib Family Restaurant";"1.3581629,103.75074870000003"
"Singapore Bukit Batok MRT Station";"1.3485641,103.7490636"
"Singapore Swensens @ West Mall";"1.350242,103.74912799999993"
"Singapore Bukit Batok Polyclinic";"1.351972,103.74792409999998"
"Singapore Sakae Sushi @ Westmall";"1.35012,103.74927000000002"
"Singapore Cathay Cineplex";"1.299414,103.84764399999995"
"Singapore Dads Corner at Bukit Batok Civil Service Club";"1.3525218,103.74925350000001"
"Singapore Hilltop Garden Restaurant";"1.352618,103.74939799999993"
"Singapore Pasta Mania @ West Mall";"1.349649,103.74910699999998"
"Singapore Bukit Batok St. 24 Singapore";"1.3425888,103.75631139999996"
"Singapore Bali Thai @ West Mall";"1.3355188,103.74658420000003"
"Singapore Air Pasang @ Bukit Gombak";"1.3584766,103.75042630000007"
"Singapore Sci-Fi City @ Universal Studio Singapore";"1.2540421,103.82380839999996"
"Singapore Mayim Chinese Cuisine";"1.3354758,103.88422939999998"
" ERROR! Input:Singapore Hufflepuff Common Room"
"Singapore The Jade Condominium - Bukit Batok";"1.348982,103.74873879999996"
"Singapore Coffee Bean At West Mall";"1.3500652,103.74947850000001"
"Singapore West Mall Sogurt";"1.3244216,103.80929709999998"
"Singapore Lianhua Primary School";"1.3536064,103.7544322"
"Singapore Pizza Hut At Westmall";"1.3500692,103.74932209999997"
"Singapore Bukit Batok St 52";"1.3546294,103.75186039999994"
"Singapore Guilin Breeze";"1.354759,103.75043000000005"
"Singapore Bukit Batok East";"1.3590288,103.76367959999993"
"Singapore CSC Club, Bukit Batok";"1.352618,103.74939799999993"
"Singapore Bukit Batok East Ave 5";"1.3530917,103.75503120000008"
"Singapore Singapore,Butik Batok";"1.3590288,103.76367959999993"
"Singapore Bukit View Primary School";"1.3459081,103.7534607"
"Singapore Palawan Beach Sentosa";"1.2482777,103.82253739999999"
"Singapore Sunset Way";"1.3279837,103.76692839999998"
"Singapore Buttercake n Cream";"1.321948,103.76970940000001"
"Singapore The Tiny Roaster";"1.321948,103.76970900000003"
"Singapore Chin Huat Live Seafood";"1.3226329,103.76962430000003"
"Singapore Pandan Valley Condominium";"1.3208009,103.77962860000002"
"Singapore MBS";"1.2835627,103.86068720000003"
"Singapore Ridgewood Condo";"1.3177956,103.77928789999999"
"Singapore Nexus International School, Singapore";"1.3191723,103.77560040000003"
"Singapore Pine Grove Condo 2017";"1.3173716,103.77676139999994"
"Singapore Yoha @Ulu Pandan";"1.321744,103.77900299999999"
"Singapore Ulu Pandan Park Connector";"1.312647,103.77966839999999"
"Singapore The Catch Seafood Restaurant &amp";"1.321948,103.76970940000001"
" Bar";"42.2040425,19.140438000000017"
"Singapore The Trizon";"1.3167809,103.77793429999997"
"Singapore Buttercake &amp";"1.321948,103.76970940000001"
" Cream @ Sunset Way";"1.3234801,103.76753589999998"
"Singapore The French Ladle";"1.320431,103.77899200000002"
" ERROR! Input:Singapore Police Kins Training Camp"
"Singapore Megumi Japanese Restaurant";"1.3132614,103.92748610000001"
"Singapore DeBeer Seafood Restaurant At Sunset Way";"1.321948,103.76970900000003"
"Singapore Drips Bakers Playground";"1.322459,103.77036279999993"
"Singapore Carne &amp";"1.3219081,103.76974159999997"
" Caipirinha";"49.1453845,9.221126099999992"
"Singapore Mount Pleasant Animal Medical Centre";"1.3188982,103.94503269999996"
"Singapore Astor Green Condo";"1.3173716,103.77676139999994"
"Singapore Fusion at PINE GROVE";"1.3191655,103.77361539999993"
"Singapore Pine Grove Estate";"1.3173357,103.77502549999997"
"Singapore Malaysia, Johor Baru, Kota Tinggi";"1.488326,103.76068699999996"
"Singapore Pine Grove, Cavendish Park";"1.3168315,103.77544450000005"
"Singapore Cavendish Park";"1.3168315,103.77544450000005"
"Singapore Cavendish Park Condominium";"1.3168315,103.77544450000005"
"Singapore Marina Bay";"1.2835627,103.86068720000003"
"Singapore The Animal Clinic - Sunsetway Branch";"1.3222938,103.77059589999999"
"Singapore Rockys Pizza";"1.3387823,103.79315810000003"
"Singapore The Cat Clinic";"1.3218661,103.77073769999993"
"Singapore Angels N Cowboys";"1.321946,103.76982329999998"
"Singapore SIM GE Campus";"1.3292318,103.77611520000005"
"Singapore Clementi Sunset Way Singapore";"1.3279418,103.76688179999996"
"Singapore Fitness First Platinum Fusionopolis";"1.2994416,103.78768749999995"
"Singapore The Trizon";"1.3167809,103.77793429999997"
"Singapore ????? Sunset Way";"1.3279837,103.76692839999998"
"Singapore Intercontinental Hotel, Singapore";"1.2983091,103.85504800000001"
"Singapore Pandan Valley, Singapore";"1.3194479,103.77824370000008"
"Singapore Balmoral Bakery";"1.3224934,103.77017209999997"
"Singapore The Serenade @ Holland";"1.3185139,103.78017840000007"
"Singapore Astorgreen";"1.3173716,103.77676139999994"
"Singapore Lanzavecchia + Wai Design Studio Singapura";"1.287223,103.83423900000003"
"Singapore Runners Edge";"1.3034512,103.87296100000003"
"Singapore Thomson Medical Center";"1.325329,103.841501"
"Singapore Montview Condo";"1.3167112,103.77730050000002"
"Singapore Happy Mookata Bistro at Sunset Way";"1.353175,103.87660400000004"
"Singapore NUS Eusoff Hall";"1.2939552,103.77045529999998"
"Singapore Temasek Hall";"1.2929343,103.77148740000007"
"Singapore Gold Coast Condo";"1.290403,103.77485100000001"
"Singapore Niqqis The Cheese Prata Shop";"1.2928879,103.76867700000003"
"Singapore West Coast, Singapore";"1.303644,103.76589200000001"
"Singapore West Coast Dog Run";"1.2881312,103.7747852"
"Singapore West Coast Pier";"1.2925472,103.76220030000002"
"Singapore Temasek Hall, NUS";"1.2929343,103.77148740000007"
"Singapore Sheares Hall";"1.291437,103.77564280000001"
"Singapore Varsity Park";"1.2945363,103.76714719999995"
"Singapore Pasir Panjang";"1.2760331,103.79190410000001"
" ERROR! Input:Singapore Beau Rivage Collection"
"Singapore Putera Puteri Our Makan Place";"1.2926437,103.76841709999997"
"Singapore Chengs Gourmet Food Bar";"1.2930988,103.76881720000006"
"Singapore Singapore PSA Container Terminal";"1.2831459,103.77389399999993"
"Singapore Al Ameen Makan House";"1.342436,103.77520800000002"
"Singapore Fong Seng Fast Food Nasi Lemak";"1.2927213,103.76852729999996"
"Singapore Pasir Panjang Road Singapore";"1.2808457,103.78496059999998"
"Singapore Humble Origins";"1.2950363,103.77140220000001"
"Singapore Port Of Singapore Authority";"1.27371,103.80131400000005"
"Singapore Psa Port Pasir Panjang";"1.2831459,103.77389399999993"
"Singapore Genoa, Italy";"44.40571,8.935950000000048"
