"Input";"Coordinates"
"Singapore Thomson Medical";"1.325329,103.841501"
"Singapore Singapore Polo Club (Official)";"1.3330248,103.83684229999994"
"Singapore The Arte";"1.3286554,103.84251369999993"
"Singapore Value Hotel Thomson";"1.326838,103.842759"
"Singapore Offside - Futsal";"1.3243748,103.88322240000002"
"Singapore Batu Caves Kuala Lumpur";"3.2378844,101.68403850000004"
"Singapore Marina Bay, Singapore";"1.2877935,103.86655489999998"
"Singapore 1 Altitude Sky Bar";"1.2849197,103.85110810000003"
"Singapore Old Police Academy";"1.330325,103.8392589"
"Singapore Cube 8";"1.3280543,103.84123079999995"
"Singapore Senior Police Officers Mess";"1.3311076,103.83521229999997"
"Singapore City Harvest Church Jurong West";"1.3430076,103.69190520000006"
"Singapore Loong Fatt Tau Sar Piah";"1.3262733,103.84246099999996"
"Singapore Offside Futsal Park";"1.3243748,103.88322240000002"
"Singapore Thomas Medical Hopsital";"1.325329,103.841501"
"Singapore Thomson 368";"1.327207,103.84183000000007"
"Singapore Lee Ah Mooi Old Age Home ??????";"1.330107,103.83990300000005"
"Singapore Pet Shop Puppies For Sale Singapore";"1.4454289,103.71419689999993"
"Singapore Thomson Road";"1.3274912,103.8413329"
"Singapore Sky @ Eleven Condo";"1.331265,103.84060999999997"
"Singapore Masjid Omar Salmah";"1.3347729,103.83199650000006"
"Singapore Bee Kia seafood restaurant";"1.3246763,103.84219480000002"
"Singapore Merlion Park";"1.2867974,103.85436129999994"
"Singapore Thomson Medical Centre Paediatric Clinic";"1.325389,103.84147499999995"
"Singapore Mount Pleasant Road";"1.3327371,103.83219450000001"
"Singapore Value Hotel Thomson, 592 Baliester Road Singapore.";"1.326838,103.842759"
"Singapore Sky@11";"1.331265,103.84060999999997"
"Singapore Loof Bar";"1.2961252,103.8535776"
"Singapore The Smart Local Hq";"1.319323,103.86620500000004"
"Singapore CJC Performing Arts Centre";"1.3249829,103.83521189999999"
"Singapore Macritchie Reservoir";"1.3447621,103.82235059999994"
"Singapore Catholic Junior College Performing Arts Centre";"1.3249829,103.83521189999999"
"Singapore Thomson Road, Singapore";"1.3274912,103.8413329"
"Singapore Thomson Medical Centre Premier Ward";"1.325329,103.841501"
"Singapore Indigo Prawn";"1.3084932,103.91118170000004"
"Singapore Global Ville";"1.3276142,103.84259410000004"
"Singapore 368 Thomson Singapore";"1.327207,103.84183000000007"
"Singapore Mount Pleasant, Singapore";"1.3731327,103.82983409999997"
"Singapore Sky@eleven, 5 Thomson Lane";"1.331265,103.84060999999997"
"Singapore Omar Salmah Mosque";"1.3347729,103.83199650000006"
"Singapore Budda Tooth Relic Temple";"1.2813993,103.84426840000003"
"Singapore POMO Singapore";"1.2999666,103.84892509999997"
"Singapore Mt Pleasant Road";"1.3327371,103.83219450000001"
"Singapore PIE";"1.3327345,103.81623669999999"
"Singapore Tan Tong Meng Tower, Thomson Road";"1.3279313,103.84174080000003"
"Singapore Nois Mushroom Minced Meat Noodles";"1.3267981,103.8431061"
"Singapore Offside @ Thomson Flyover";"1.3289425,103.84066510000002"
"Singapore The Esplanade";"1.2897934,103.85581660000003"
"Singapore Comfort Driving Centre";"1.3357438,103.89668319999998"
"Singapore Charles &amp";"1.288693,103.84673199999997"
" ERROR! Input: Keith Head Office Building"
"Singapore Hq Scdf";"1.3338577,103.89262699999995"
"Singapore DHL Air Express Centre";"1.3373777,103.89239659999998"
"Singapore NutriFirst";"1.3378791,103.89722230000007"
