"Input";"Coordinates"
"Singapore Kent Ridge Hall";"1.2917482,103.77469100000008"
"Singapore NUS Faculty of Arts and Social Sciences";"1.2942044,103.771121"
"Singapore NUS School of Computing";"1.295053,103.77384600000005"
"Singapore The Deck - FASS Canteen NUS";"1.2942044,103.771121"
"Singapore Kent Ridge Hall";"1.2917482,103.77469100000008"
"Singapore Shaw Foundation Alumni House";"1.2931799,103.77364979999993"
"Singapore Late Plate";"1.292832,103.77340000000004"
"Singapore Reedz Cafe";"1.3273174,103.74833910000007"
"Singapore Institute of Systems Science, NUS";"1.292248,103.776611"
"Singapore Chilli Padi Nonya Cafe";"1.313352,103.90015659999995"
"Singapore Mochtar Riady Building";"1.2924213,103.77402219999999"
"Singapore ISEAS-Yusof Ishak Institute";"1.291483,103.77654099999995"
"Singapore The Scholar, NUSS Guild House";"1.2936616,103.77304000000004"
"Singapore NUS Business Canteen";"1.2924099,103.77399680000008"
"Singapore Cafe on the Ridge";"1.29386,103.77325989999997"
"Singapore Mochtar Riady Building - National University of Singapore";"1.2924213,103.77402219999999"
"Singapore NUS Theatrette LT13";"1.2966426,103.77639390000002"
"Singapore Kent Ridge Guild House NUS";"1.293343,103.77302669999995"
"Singapore National University of Singapore - School of Computing";"1.295053,103.77384600000005"
"Singapore NUS @ Guild House";"1.293343,103.77302669999995"
"Singapore The Hangar by NUS Enterprise";"1.2923403,103.77576550000003"
"Singapore Australia";"-29.6650922,150.40821040000003"
"Singapore The University Club";"1.293234,103.77366000000006"
"Singapore NUS Biz 2";"1.2924099,103.77399680000008"
"Singapore Kent Ridge Hall A Block";"1.2917482,103.77469100000008"
"Singapore The Scholar";"1.2936616,103.77304000000004"
"Singapore Hon Sui Sen Memorial Library, Nus Business School";"1.2929873,103.77454080000007"
"Singapore Kent Ridge Hall C Block";"1.2917482,103.77469100000008"
"Singapore Icube";"1.273548,103.83340599999997"
"Singapore NUS Arts Canteen";"1.2942044,103.771121"
"Singapore Institute of Systems Science";"1.292248,103.776611"
"Singapore Priv�";"1.3457316,103.77259260000005"
"Singapore NUS Geography";"1.2966426,103.77639390000002"
"Singapore Nus Lt 11";"1.2966426,103.77639390000002"
"Singapore National University of Singapore - Icube";"1.2966426,103.77639390000002"
"Singapore Asia Research Institute, NUS";"1.2960479,103.77242849999993"
"Singapore Park Royal Hotel Kitchener Road";"1.3109051,103.85596989999999"
"Singapore NUSS The Graduate Club @ National University Of Singapore";"1.293343,103.77302669999995"
"Singapore Earth Lab, Dept of Geography, NUS";"1.2966426,103.77639390000002"
"Singapore Luxe Ville";"1.290033,103.77729699999998"
"Singapore Nus Lt8";"1.2966426,103.77639390000002"
"Singapore Nuss The Graduate Club";"1.293343,103.77302669999995"
"Singapore Central Library";"1.2975884,103.85430810000003"
"Singapore Starpoint";"1.3570307,103.76313200000004"
"Singapore Institute of Materials Research and Engineering";"1.2983869,103.78864829999998"
"Singapore Jurong West, Singapore";"1.3403898,103.70898750000003"
"Singapore Jurong East Swimming Complex";"1.3467529,103.72866180000005"
"Singapore Johor Bahru City, Malaysia";"1.492659,103.74135909999995"
"Singapore Jurong West ST.42, Singapore";"1.3531874,103.72091509999996"
"Singapore The Lakeshore Condominiums";"1.3457178,103.72265149999998"
"Singapore Lakeside MRT Station";"1.3442374,103.72072530000003"
"Singapore Fuhua Secondary School (FHSS)";"1.347278,103.72656359999996"
"Singapore Jurong West St 41";"1.3482954,103.72325879999994"
"Singapore Bangkok Street Mookata - Jurong West";"1.3488036,103.72411820000002"
"Singapore Hua Yi Secondary School";"1.351473,103.72158000000002"
"Singapore Griddy";"1.3341433,103.74281010000004"
"Singapore Jurong West Street 41, Singapore";"1.3482954,103.72325879999994"
"Singapore Hong Kah Secondary School";"1.3521827,103.72710210000002"
"Singapore Mr Teh Tarik Eating House";"1.3723303,103.84577109999998"
"Singapore Jurong Canal";"1.3508576,103.72821780000004"
"Singapore The Lakeshore";"1.3457178,103.72265149999998"
"Singapore Canadian International School";"1.3036709,103.8973737"
"Singapore Serangoon North";"1.3745407,103.86924670000008"
"Singapore Baking Lab";"1.3471022,103.72470329999999"
"Singapore Jurong Green CC";"1.3504813,103.72543559999997"
"Singapore Jurong East Swimming Complex";"1.3467529,103.72866180000005"
"Singapore Yuhua Secondary School";"1.3472609,103.722396"
"Singapore Canadian International School (lakeside Campus)";"1.34658,103.7260963"
" ERROR! Input:Singapore Gangsta Paradise!!"
"Singapore Pahlawan Beach @ Sentosa";"1.2482777,103.82253739999999"
"Singapore Kim Lotus Dessert";"1.3504964,103.72327710000002"
" ERROR! Input:Singapore Rosmans Residence"
" ERROR! Input:Singapore Studioape bearbrick"
"Singapore Blk 433 Jurong West St 42";"1.352674,103.72298899999998"
"Singapore McDonalds Jurong Green CC";"1.3504344,103.72540500000002"
"Singapore Shuqun Primary School";"1.3471816,103.72153760000003"
"Singapore Jurong West Ave 1";"1.3510503,103.72094070000003"
"Singapore Creamology";"1.3483393,103.72435289999999"
" ERROR! Input:Singapore My Little Heaven"
"Singapore Blk 427 Jurong West Ave 1";"1.3513724,103.72534589999998"
"Singapore Jurong West Blk 441";"1.3511792,103.72065109999994"
"Singapore Lakeshore Condominium";"1.3457178,103.72265149999998"
"Singapore Raffles Place";"1.2840999,103.8513269"
