"Input";"Coordinates"
"Singapore Kushinbo Jurong Point";"1.3392559,103.70657329999995"
"Singapore Eggs &amp";"1.334389,103.74282840000001"
" Berries at Jurong Point";"1.3380754,103.74119139999993"
"Singapore Carls Jr @ Jurong Point";"1.3404888,103.70645059999993"
"Singapore Golden Village @Jurong Point Shopping Mall";"1.340009,103.70637069999998"
"Singapore Jurong Bird Park";"1.3187065,103.70644170000003"
"Singapore Jurong Bird Park";"1.3187065,103.70644170000003"
"Singapore SDV";"1.375446,104.00322299999993"
"Singapore Jurong Bird Park@ Singapore ?????????";"1.3187065,103.70644170000003"
"Singapore Jurong Central Park";"1.3381428,103.70780910000008"
"Singapore Boon Lay, Singapore";"1.3142556,103.7093099"
"Singapore Jurong";"1.3328572,103.74355220000007"
"Singapore Jurong Safra";"1.335243,103.70634599999994"
"Singapore Safra jurong";"1.335243,103.70634599999994"
"Singapore Jurong Hill Prawn Fishing &amp";"1.3175,103.70749999999998"
" Beer Garden";"44.3106164,-93.27616360000002"
"Singapore Jurong Hill";"1.3175,103.70749999999998"
"Singapore KBOX - Safra Jurong";"1.3388744,103.70533079999996"
"Singapore Joy Garden Ballroom@Jurong Safra";"1.3353377,103.70625010000003"
"Singapore Eco-Tech at Sunview Singapore";"1.3162734,103.69687840000006"
"Singapore Hai Bin Prawning &amp";"1.3923422,103.91665119999993"
" Fishing at Jurong Hill";"1.3175,103.70749999999998"
"Singapore Jurong Hilltop Restaurant";"1.352618,103.74939799999993"
"Singapore Waterfall Aviary - Jurong Bird Park - Singapore";"1.3187065,103.70644170000003"
"Singapore Ah Yat Seafood Restaurant - Jurong";"1.3370499,103.79395479999994"
"Singapore Sakura@ Safra Jurong";"1.3350225,103.7062396"
"Singapore Swimming Pool @SAFRA Jurong";"1.335243,103.70634599999994"
"Singapore Jack�s place@Jurong Safra";"1.334972,103.70629899999994"
"Singapore Lory Loft @ Jurong Birdpark";"1.3187065,103.70644170000003"
"Singapore Sdv";"1.375446,104.00322299999993"
"Singapore Jurong Singapore Bird Park";"1.31836,103.70696700000008"
"Singapore Manekineko Safra Jurong Clubhouse";"1.334908,103.70642799999996"
"Singapore EnergyOne Gym @SAFRA Jurong";"1.335166,103.70629899999994"
"Singapore SAFRA Jurong";"1.335243,103.70634599999994"
"Singapore Birdz of Play @Jurong Bird Park";"1.3187065,103.70644170000003"
"Singapore Jurong Island Check Point";"1.2759631,103.67679580000004"
"Singapore Safra Jurong";"1.335243,103.70634599999994"
"Singapore Kidz Amaze Indoor Playground";"1.329911,103.85425600000008"
"Singapore Kidz Amaze @ Safra Jurong";"1.335018,103.70643100000007"
"Singapore Parque de aves de Jurong";"1.3187065,103.70644170000003"
"Singapore Pioneer Point";"1.3341043,103.69887229999995"
"Singapore Penguin Coast @ Jurong Birdpark";"1.3187065,103.70644170000003"
"Singapore Jurong Bird Park";"1.3187065,103.70644170000003"
"Singapore Pools Amphitheatre @ Jurong Bird Park";"1.3187065,103.70644170000003"
"Singapore Kidz Amaze";"1.329911,103.85425600000008"
"Singapore Joy Garden @ Safra Jurong";"1.3353377,103.70625010000003"
"Singapore Kids Amaze Indoor Playground @Safra Jurong";"1.335018,103.70643100000007"
"Singapore Gelare at Safra Jurong";"1.3350091,103.70643540000003"
"Singapore SAFRA Jurong";"1.335243,103.70634599999994"
"Singapore i Darts Fame2";"1.2776025,103.81716879999999"
"Singapore African Waterfall Aviary";"1.3187065,103.70644170000003"
"Singapore LionCity CrossFit";"1.3338889,103.69853720000003"
"Singapore Autotrac";"1.3337636,103.69850010000005"
"Singapore Jurong Safra Club";"1.335243,103.70634599999994"
"Singapore Real Yoga at Safra Jurong";"1.334908,103.70642799999996"
"Singapore IKEA Alexandra";"1.2880072,103.80602729999998"
"Singapore Gillman Barracks";"1.2783906,103.80437660000007"
"Singapore Alkaff Mansion Ristorante";"1.2787746,103.81320890000006"
"Singapore ABC Brickworks Market &amp";"1.286869,103.8080536"
" Food Centre";"24.8263334,67.03431160000002"
"Singapore Park Hotel Alexandra";"1.2872491,103.80540510000003"
"Singapore Ikea Restaurant";"1.3739295,103.93232469999998"
"Singapore Alexandra Village Hawker Centre";"1.2862284,103.80445199999997"
"Singapore Jalan Bukit Merah";"1.2836134,103.81936229999997"
"Singapore The Interlace Singapore";"1.2817711,103.80253500000003"
"Singapore Southern Ridges";"1.2801016,103.80299489999993"
"Singapore Vineyard at HortPark";"1.2789216,103.80144189999999"
"Singapore Creamier Gillman Barracks";"1.277505,103.803944"
"Singapore Enabling Village";"1.2872577,103.81481299999996"
"Singapore Queensway Shopping Centre";"1.2878343,103.80361110000001"
"Singapore Alexandra Village Food Centre";"1.2862284,103.80445199999997"
"Singapore Queensway Shopping Centre";"1.2878343,103.80361110000001"
"Singapore KEK Seafood Alexandra";"1.2857419,103.80363220000004"
"Singapore Timbre at Gillman";"1.278398,103.80458599999997"
"Singapore Alexandra Hospital";"1.2866021,103.80104619999997"
"Singapore Telok Blangah Hill Park";"1.2785124,103.81288689999997"
"Singapore Stew K�che";"1.2860447,103.80473929999994"
"Singapore Depot Road";"1.2815881,103.80983300000003"
"Singapore Anchorpoint Shopping Centre";"1.2887553,103.80509849999999"
"Singapore Forest Walk";"1.2801016,103.80299489999993"
"Singapore Alexandra Hospital";"1.2866021,103.80104619999997"
"Singapore The Bakehouse Carpenter and Cook";"1.287287,103.80521049999993"
"Singapore Art After Dark at Gillman Barracks";"1.2783906,103.80437660000007"
"Singapore Masons Restaurant and Bar at Gillman Barracks";"1.2776907,103.8040277"
"Singapore AIA Alexandra";"1.2847109,103.80251769999995"
"Singapore Salute Coffeeshop";"1.2861898,103.80485999999996"
"Singapore Geometry";"1.2866638,103.80716239999992"
