"Input";"Coordinates"
"Singapore Singapore Anchorage Area";"1.289179,103.80485699999997"
"Singapore Singapore Changi Airport Terminal 4";"1.3644202,103.99153079999996"
"Singapore SAF Yacht Club";"1.469808,103.81966890000001"
"Singapore Straits Of Singapore";"1.2873932,104.14660460000005"
"Singapore Sim Siang Choon Hardware";"1.33561,103.97063400000002"
"Singapore Changi Airport Terminal 1 Arrival Hall";"1.361551,103.99028399999997"
"Singapore Nirwana Resort Hotel";"1.1793611,104.32051909999996"
"Singapore Tanah Merah Ferry Terminal,Singapore Cruise Centre";"1.3136752,103.98868300000004"
"Singapore Bintan Agro Beach Resort &amp";"1.0316083,104.65657639999995"
" Spa";"50.49243,5.864320000000021"
"Singapore Boarding Gate 2 @ Tanah Merah Ferry Terminal";"1.3152031,103.98889429999997"
" ERROR! Input:Singapore Changi Airport Terminal 5 Land Preparation Project."
"Singapore Changi Airport Terminal 4 Site Office";"1.3644202,103.99153079999996"
"Singapore Changi Airport Runway";"1.3644202,103.99153079999996"
"Singapore Bintan Cabana Beach Resort";"1.0316083,104.65657639999995"
"Singapore Saf Yatch Club Tanah Merah";"1.469808,103.81966890000001"
"Singapore Changi Coastal Walk";"1.3906746,103.98830410000005"
"Singapore Bintan Resort Ferries";"1.3140038,103.98860079999997"
"Singapore Singapore Cruise Center";"1.2634389,103.82004189999998"
"Singapore Budget Terminal Arrival  Hall";"1.356367,103.98713299999997"
"Singapore Singapore Changi Airport T3 Departure";"1.356428,103.98686199999997"
"Singapore Singapore Changi Internation Airport Terminal 3";"1.3644202,103.99153079999996"
"Singapore Turi Beach Resort, Batam";"1.1963019,104.10193240000001"
"Singapore Singapore Changi Airport Terminal 1 Arrival Hall";"1.361551,103.99028399999997"
" ERROR! Input:Singapore USS John C Stennis"
"Singapore Tanah merah Coast Road";"1.3149083,103.99404959999993"
"Singapore Nirwana Gardens Resort, Indonesia";"1.1793611,104.32051909999996"
"Singapore Changi South";"1.3331492,103.95177490000003"
" ERROR! Input:Singapore Changi T5 Worksite"
"Singapore Killiney Kopitiam Tanah Merah Ferry Terminal";"1.313429,103.98837300000002"
"Singapore SAFYC (Changi)";"1.469808,103.81966890000001"
"Singapore Changi Airport Singapore";"1.3644202,103.99153079999996"
"Singapore Singapore Changi Airport Arrival Hall";"1.3644202,103.99153079999996"
"Singapore Bintan, Indoneaia";"1.1367041,104.4257533"
"Singapore Changi Lodge 2";"1.312778,103.99714059999997"
"Singapore PalmSprings Golf &amp";"1.1862941,104.080154"
" Beach Resort, BATAM";"1.1963019,104.10193240000001"
"Singapore DFS Singapore Cruise Centre, Tanah Merah";"1.31415,103.98874999999998"
" ERROR! Input:Singapore Budget Terminal Boarding Gate"
"Singapore Garden View @ Tmcc";"1.3292506,103.97967449999999"
"Singapore Waterway Point";"1.4061464,103.90186790000007"
"Singapore Waterway Point";"1.4061464,103.90186790000007"
"Singapore Coney Island Park Singapore";"1.4092951,103.92164960000002"
"Singapore Punggol Central, Singapore";"1.4021932,103.9071295"
"Singapore Compassvale Crescent";"1.3973498,103.8979008"
"Singapore Punggol Waterway Terrace I";"1.4077286,103.90008699999998"
"Singapore Punggol Topaz";"1.4048648,103.89613340000005"
"Singapore Gold Coast, Australia";"-28.1656448,153.50907400000006"
"Singapore Punggol";"1.3984457,103.9072046"
"Singapore Compassvale Street";"1.394954,103.89873999999998"
"Singapore Waterway Cascadia";"1.4079483,103.89738319999992"
"Singapore Punggol Waterway Point";"1.4061464,103.90186790000007"
"Singapore Singapore";"1.352083,103.81983600000001"
"Singapore A Treasure Trove";"1.404359,103.89978100000008"
"Singapore Masjid Al Islah Punggol";"1.4012639,103.90164189999996"
"Singapore ANCHORVALE COVE";"1.398659,103.89069510000002"
"Singapore Edgefield (Punggol)";"1.4009388,103.90911779999999"
"Singapore The R�sti Farm";"1.4057572,103.90202139999997"
"Singapore Shaw Theatres Waterway Point IMAX";"1.4064114,103.90206749999993"
"Singapore Punggol Spectra";"1.4002986,103.91162409999993"
"Singapore Anchorvale Harvest Residents";"1.3953024,103.88807129999998"
"Singapore Priv�";"1.3457316,103.77259260000005"
"Singapore Twin Waterfalls";"1.4015626,103.89771859999996"
"Singapore Punggol Field, Singapore";"1.3994271,103.90574220000008"
"Singapore Compassvale Road";"1.3904148,103.89742150000006"
"Singapore Suntec City Convention Centre";"1.2936854,103.85727930000007"
"Singapore Punggol Sapphire";"1.403084,103.89863689999993"
"Singapore Shaw Theatres Waterway Point";"1.4064114,103.90206749999993"
"Singapore Greendale Secondary School";"1.396986,103.91171789999999"
"Singapore London Fat Duck Waterway Point";"1.406086,103.9020653"
"Singapore BurgerUp";"1.4299259,103.83642759999998"
"Singapore Singapore";"1.352083,103.81983600000001"
"Singapore Miam Miam, Waterway Point";"1.2998681,103.8558051"
"Singapore Punggol Dr (Singapore)";"1.4031478,103.91139180000005"
"Singapore Punggol Place";"1.4030918,103.90306839999994"
"Singapore Damai Grove";"1.40479,103.90838899999994"
"Singapore Punggol Emerald";"1.4058645,103.89806380000005"
"Singapore Punggol Wave";"1.400855,103.898282"
"Singapore Punggol Drive";"1.4031478,103.91139180000005"
"Singapore Punggol MRT/LRT Station";"1.4050922,103.90246589999992"
"Singapore Edgefield Secondary School";"1.4002145,103.90230199999996"
"Singapore Singpore";"1.352083,103.81983600000001"
"Singapore Edgefields Plains, Singapore";"1.4010705,103.90921090000006"
"Singapore Matilda Portico";"1.402688,103.89539259999992"
"Singapore Treelodge@ Punggol";"1.406423,103.90599799999995"
"Singapore Edgefield Plains";"1.4010705,103.90921090000006"
"Singapore TPE Expressway";"1.3826994,103.91708889999995"
"Singapore Compassvale Secondary School";"1.396086,103.89971100000002"
"Singapore Henry Congressional";"1.3158756,103.78273289999993"
"Singapore Holland Road";"1.3130104,103.79795519999993"
"Singapore Henry Park Primary School";"1.3167825,103.7841363"
"Singapore Eunoia Junior College";"1.3134812,103.78618370000004"
"Singapore Glentrees";"1.3163321,103.78481139999997"
"Singapore Mount Sinai Road";"1.3143316,103.78504279999993"
"Singapore Holland Grove Rd";"1.3169313,103.7836016"
"Singapore East Coast Beach Park";"1.3007842,103.91218660000004"
"Singapore Balik Kampung";"1.3575971,103.76050250000003"
"Singapore Jalan Jelita";"1.3163837,103.78653480000003"
"Singapore Henry Park Apartments";"1.3167825,103.7841363"
"Singapore The Green Corridor, Singapore.";"1.3287533,103.78143460000001"
"Singapore Mount Sinai Lane";"1.3161916,103.78519699999993"
"Singapore Yogjakarta Borobudur";"-7.752020600000001,110.49146740000003"
"Singapore Henry Park Primary School";"1.3167825,103.7841363"
"Singapore Grove Lane";"1.3141401,103.78439120000007"
" ERROR! Input:Singapore Red Roof Records"
" ERROR! Input:Singapore SUTRA Aromatherapy Singapore"
"Singapore Blk 1 Ghim Moh Road";"1.312969,103.78688499999998"
"Singapore Holland Village Park";"1.3117806,103.7955283"
"Singapore Mt Sinai Lane";"1.3161916,103.78519699999993"
"Singapore Singapore Island Country Club";"1.3419133,103.81121860000007"
"Singapore Grove Avenue";"1.3125653,103.78443149999998"
"Singapore Raffles Girls Primary School";"1.3302628,103.80678680000005"
" ERROR! Input:Singapore Squishy Paradise"
"Singapore Moonbeam View";"1.3180065,103.78182749999996"
"Singapore Jalan Tenang";"1.3169234,103.78719019999994"
"Singapore Tan Boon Chong Ave";"1.3153064,103.7883028"
"Singapore Grove Crescent";"1.3136008,103.78382920000001"
"Singapore Holland Garden Moonbeam Terrace,Singapore";"1.3193989,103.78192130000002"
"Singapore Cornerstone Bishan Park";"1.362456,103.84711199999992"
"Singapore 53 Mount Sinai Road";"1.3140105,103.78651739999998"
"Singapore ?????";"1.352083,103.81983600000001"
"Singapore Railway";"1.3342881,103.78114260000007"
"Singapore Jalan Istimewa";"1.3165936,103.78690219999999"
"Singapore 16 Holland Grove";"1.3138479,103.78215"
"Singapore Holland Grove Road";"1.3169313,103.7836016"
"Singapore 24 Holland Grove Road";"1.316929,103.78297900000007"
"Singapore Ponggol Point";"1.4110707,103.90453849999994"
"Singapore Moonbeam Drive";"1.3176971,103.78243769999995"
" ERROR! Input:Singapore Mplified Studios - Jelita"
"Singapore Holland Village Thai Express";"1.3113488,103.79514889999996"
"Singapore Raffles Hotel";"1.2948829,103.85447909999993"
"Singapore Jln Jelita";"1.3163837,103.78653480000003"
"Singapore 11G Mount Sinai Lane";"1.316828,103.78525990000003"
"Singapore City Hall";"1.2912718,103.85181829999999"
"Singapore Henry Park";"1.3167825,103.7841363"
" ERROR! Input:Singapore Lees Abode"
"Singapore Garden By the Bay Singapore";"1.2816667,103.86401840000008"
"Singapore Woodlands Circle";"1.4448218,103.79721540000003"
"Singapore Woodlands";"1.4381922,103.78895970000008"
"Singapore Dream Wedding Boutique";"1.435013,103.80463800000007"
"Singapore White Sands Island";"1.3724701,103.94961790000002"
"Singapore Mount Fuji, Fujiyama, Japan";"35.3605555,138.72777769999993"
"Singapore Innova Junior College";"1.430254,103.78834099999995"
"Singapore Vista Point";"1.4313055,103.79383919999998"
"Singapore Woodlands Ring Road";"1.4350841,103.79953309999996"
"Singapore Woodsvale Condominium";"1.4436043,103.8045548"
"Singapore Effiel tower, Paris";"48.85837009999999,2.2944813000000295"
"Singapore ACE The Place Community Centre";"1.4275473,103.79218430000003"
"Singapore Woodgrove Secondary School";"1.429005,103.79744200000005"
"Singapore Woodlands11";"1.434523,103.80260820000001"
" ERROR! Input:Singapore Wardahs Casa"
"Singapore Northoaks Condominium";"1.4452125,103.80656799999997"
"Singapore Treegrove@woodlands";"1.4379844,103.79439379999997"
"Singapore Primz Bizhub";"1.4351696,103.80487210000001"
"Singapore Woodlands Drive 14";"1.4336779,103.79138949999992"
"Singapore Riverside Secondary School";"1.4404834,103.788591"
" ERROR! Input:Singapore Home Sweet Home. My Humble Crib - Champ20ns Way"
"Singapore Woodlands Community Club";"1.4398229,103.7882108"
"Singapore Christ Church Secondary School";"1.426395,103.79341899999997"
"Singapore 888 Plaza .";"1.4378792,103.79533119999996"
"Singapore CrossFit Red Dot";"1.43606,103.80594999999994"
"Singapore Admiralty Woodlands";"1.44069,103.80075480000005"
"Singapore Woodlands Drive 14";"1.4336779,103.79138949999992"
"Singapore ??? Chinatown";"1.2837749,103.84370920000003"
"Singapore Evergreen Secondary School";"1.4415383,103.79361140000003"
"Singapore Champions way";"1.4295379,103.78938270000003"
"Singapore Admiralty MRT Station";"1.44069,103.80075480000005"
"Singapore Woodlands Ave 4";"1.442083,103.79499039999996"
"Singapore Woodsvale Condominium,Woodlands Singapore";"1.4436043,103.8045548"
"Singapore Attica";"1.2899574,103.84486070000003"
"Singapore Woodlands Crescent";"1.4465786,103.80319480000003"
"Singapore Woodlands Crescent";"1.4465786,103.80319480000003"
"Singapore Singapore Sports School";"1.426703,103.78905600000007"
"Singapore Woodlands Dr 60";"1.4465877,103.7992461"
"Singapore Woodsvale, Singapore";"1.4436043,103.8045548"
"Singapore Woodlands Causway Point";"1.4360706,103.78621769999995"
"Singapore The Galaxy, A Community Club @ Woodlands";"1.4390287,103.80268669999998"
" ERROR! Input:Singapore Playboy Mansion.."
"Singapore Northoaks";"1.4452125,103.80656799999997"
"Singapore The Analog Factory";"1.4352701,103.80481299999997"
"Singapore Forestville Woodlands Executive Condominium";"1.4319004,103.79913090000002"
"Singapore Tree Trail";"1.3607287,103.8125215"
"Singapore Greenwood Sanctuary Park";"1.439727,103.80693440000005"
"Singapore La Casa, Woodlands Drive 16";"1.4323614,103.7978412"
