"Input";"Coordinates"
"Singapore Jurong Port J6";"1.30975,103.71719200000007"
"Singapore Rotary Engineering Limited";"1.3250411,103.6364873"
" ERROR! Input:Singapore Dolok sanggul (pollung)"
"Singapore Sembcorp Marine Ltd";"1.304541,103.70397700000001"
"Singapore SRC";"1.281595,103.71401200000003"
"Singapore Pulau Damar Laut";"1.2921416,103.85382670000001"
"Singapore Pulau Damar Laut";"1.304816,103.70126299999993"
"Singapore Pulau Damar Laut";"1.302502,103.71410400000002"
"Singapore Rotary IMC";"1.324047,103.63678200000004"
"Singapore No. 26 Tanjong Kling Rd";"1.307256,103.70338300000003"
"Singapore Jurong Shipyard at 29 Tanjong Kling Road";"1.3047077,103.7039264"
"Singapore Jurong Shipyard@sembcorp Marine Home of Marine Engineers";"1.304541,103.70397700000001"
" ERROR! Input:Singapore Jurong Shipyard @ 29 Tg Klingon Rd"
"Singapore Jurong Island Check Point Pass Office";"1.2759631,103.67679580000004"
"Singapore Jurong Scanning Station";"1.3095889,103.71197600000005"
"Singapore Jurong Port - J17";"1.30975,103.71719200000007"
"Singapore Seraya Rise at Jurong Island";"1.280135,103.71811430000002"
"Singapore Coim Asia Pacific";"1.285531,103.72356489999993"
"Singapore Seraya Ave";"1.27615,103.7221968"
"Singapore Nsl Oilchem Waste Management Pte. Ltd.";"1.305838,103.70061699999997"
"Singapore Jurong Port J7";"1.3132513,103.71934069999998"
"Singapore Faci Asia Pacific Pte Ltd";"1.2777661,103.71307649999994"
"Singapore Singapore Refinery Company";"1.281595,103.71401200000003"
"Singapore Seraya Power Station";"1.2799542,103.71954149999999"
" ERROR! Input:Singapore Alam Bunian"
"Singapore Singapore Refining Company@Jurong Island";"1.281595,103.71401200000003"
"Singapore Jurong Port J1";"1.30975,103.71719200000007"
"Singapore J12 Jurong Port";"1.30975,103.71719200000007"
"Singapore Jurong Port, Singapore";"1.3132513,103.71934069999998"
"Singapore Huntsman Singapore, 10 Seraya Ave, Jurong Island";"1.298582,103.85896300000002"
"Singapore Pulau Pesek";"1.2852778,103.68833330000007"
"Singapore Pulau Ayer Merbau";"1.2677778,103.71638889999997"
"Singapore Bugis Street, Singapore";"1.300599,103.85489299999995"
"Singapore West Jurong Channel";"1.3287347,103.74176899999998"
"Singapore My 2nd Home";"1.3278423,103.75365499999998"
"Singapore Jurong Port Terminal";"1.30975,103.71719200000007"
"Singapore Jurong Port J-17/18";"1.319469,103.72128199999997"
"Singapore J8 @ Jurong Port";"1.30975,103.71719200000007"
" ERROR! Input:Singapore Jurong Port Warehouse J5"
" ERROR! Input:Singapore Bazaar Ramadan @ Geylang Serai."
"Singapore Old Airport Road Hawker Centre";"1.3082332,103.8858146"
"Singapore Lifelong Learning Institute";"1.3197616,103.89231389999998"
"Singapore Caf� Melba at Goodman Arts Centre";"1.3037635,103.88462279999999"
"Singapore Tian Kee &amp";"1.305754,103.88472869999998"
" Co.";"39.5500507,-105.78206740000002"
"Singapore Brawn &amp";"1.3101449,103.88186129999997"
" Brains";"43.0174882,-85.58548289999999"
"Singapore Geylang Serai Market";"1.3167284,103.8982767"
"Singapore Goodman Arts Centre";"1.3044392,103.88530939999998"
"Singapore Heart of God Church";"1.3194968,103.89744760000008"
"Singapore Dakota Crescent.";"1.3067195,103.88692130000004"
"Singapore Old Airport Road Market and Food Centre";"1.3082332,103.8858146"
"Singapore Beauty in A Pot";"1.3152182,103.89474849999999"
"Singapore Geylang Rd, Singapore";"1.3134257,103.88376289999997"
"Singapore Paya Lebar Square";"1.3187867,103.89271450000001"
" ERROR! Input:Singapore Geylang Serai Raya Bazaar"
"Singapore The Laneway Market";"1.305835,103.89583579999999"
"Singapore Dunman High School";"1.2983683,103.88226159999999"
"Singapore Onsight Climbing Gym";"1.3099005,103.8818794"
"Singapore Arnolds Fried Chicken (S) Pte Ltd";"1.31484,103.89346"
"Singapore Singapore Zoo and River Safari";"1.4029491,103.79174109999997"
"Singapore CITY PLAZA, Singapore";"1.3147534,103.89341390000004"
"Singapore ONEKM, Making Wellness One-derful";"1.3147967,103.89460280000003"
"Singapore One Km Mall";"1.3147967,103.89460280000003"
"Singapore The Tuckshop";"1.311943,103.8886192"
"Singapore Joo Chiat";"1.3099091,103.90202690000001"
"Singapore No Signboard Seafood at Geylang Road";"1.3128258,103.8826487"
"Singapore Singapore Swimming Club";"1.2976217,103.8808699"
"Singapore Charisma Dvenue";"1.3134832,103.9005707"
"Singapore Engs Noodle House";"1.306769,103.89584910000008"
"Singapore BLACK&amp";"1.292932,103.82656500000007"
"INK";"34.0833788,-118.37252519999998"
"Singapore The Cage";"1.3018917,103.87985379999998"
"Singapore Long Ph?ng Vietnamese Restaurant";"1.312709,103.9001786"
"Singapore McDonalds Kallang";"1.3052153,103.88187289999996"
"Singapore Tanjong Katong Complex";"1.3163601,103.89449730000001"
"Singapore Garden By the Bay &amp";"1.2815683,103.86361320000003"
" Marina Bay Sand Singapore";"1.2835627,103.86068720000003"
"Singapore Sweet Tooth Addiction";"1.3119131,103.90039000000002"
"Singapore Paya Lebar Square Retail";"1.3187867,103.89271450000001"
"Singapore Koon Seng Road";"1.3115593,103.90428729999996"
"Singapore Yoga Inc.";"1.30975,103.88195100000007"
"Singapore Geylang Bazaar";"1.3137396,103.88589690000003"
"Singapore The Sunny Spring Condo";"1.312215,103.88948600000003"
"Singapore Lagun Sari Wedding &amp";"1.307968,103.90361800000005"
" Catering Services Pte Ltd";"1.336933,103.94612299999994"
"Singapore Haig Road Market Food Centre";"1.3152302,103.89551870000003"
"Singapore Lagun - Sari Wedding &amp";"1.307968,103.90361800000005"
" Catering Services Pte Ltd";"1.336933,103.94612299999994"
"Singapore ??? - Onekm";"1.3147967,103.89460280000003"
"Singapore With A Pinch Of Salt @ Tanjong Katong";"1.30644,103.89599929999997"
"Singapore Binggojung";"1.3102422,103.88226970000005"
"Singapore Little Vietnam Restaurant &amp";"1.3141926,103.89177970000003"
" Cafe";"36.02647779999999,-106.96004870000002"
"Singapore Maris Stella High School";"1.34224,103.87827800000002"
"Singapore Song Kee Fishball Noodle";"1.345926,103.87154899999996"
"Singapore Bartley Christian Church";"1.3440411,103.87851079999996"
"Singapore Hong Chang Eating House";"1.3434579,103.87041120000004"
"Singapore Gym Brigade";"1.3445438,103.8711204"
"Singapore Jalan Rindu";"1.3457721,103.87699470000007"
"Singapore Suriya Curry House";"1.3460219,103.87160519999998"
"Singapore Maris Stella High School ???????";"1.34224,103.87827800000002"
"Singapore Mount Vernon Sanctuary";"1.3400279,103.8759162"
"Singapore Bidadari Park";"1.342735,103.87517159999993"
"Singapore Bartley MRT Station";"1.3423252,103.88024840000003"
"Singapore Bartley Road";"1.3436665,103.8782228"
"Singapore Song Kee Fishball Noodle";"1.345926,103.87154899999996"
"Singapore Sommerville Walk";"1.3444175,103.87001839999994"
"Singapore Yeo Keng Nam Traditional Hainanese Chicken Rice";"1.3434839,103.87022439999998"
"Singapore ?????";"1.352083,103.81983600000001"
"Singapore Woodleigh MRT Station";"1.3392155,103.87074800000005"
"Singapore The Hill Lodge at Mount Vernon!";"1.340956,103.87853900000005"
"Singapore Upper Serangoon Road";"1.3574598,103.88234469999998"
"Singapore St. Gabriels Secondary School";"1.3467554,103.87575939999999"
"Singapore Mount Vernon Columbarium";"1.3400279,103.8759162"
"Singapore Eden Grove";"1.3448654,103.8717514"
" ERROR! Input:Singapore lautan RINDU yang sedang berkobar di HATI......."
"Singapore Finest Songkees Cuisine";"1.345926,103.87154899999996"
"Singapore Upper Serangoon Road";"1.3574598,103.88234469999998"
"Singapore Bees Cake";"1.3456189,103.87141399999996"
"Singapore Gambir Ridge Singapore";"1.3446528,103.87566649999997"
"Singapore Lorong Gambir";"1.3455826,103.87555090000001"
"Singapore Blk 403 Serangoon Ave 1";"1.3463708,103.87240730000008"
"Singapore Sunshine Terrace";"1.3457487,103.87269100000003"
"Singapore Woodleigh, Singapore";"1.3392155,103.87074800000005"
"Singapore Ginza, Tokyo";"35.674264,139.76536999999996"
"Singapore Fu Rui Eating House";"1.3532356,103.8678688"
"Singapore Garden Sunshine Park Serengon";"1.3468672,103.87414760000001"
"Singapore Sommerville Loft";"1.2874708,103.84724119999998"
"Singapore How Sun Walk";"1.3448488,103.87799240000004"
"Singapore Dhoby Gaut";"1.2985166,103.84597710000003"
"Singapore The Mentor";"1.3535014,103.8787863"
"Singapore Jalan Bahtera";"1.4295389,103.69963630000007"
"Singapore The Quinn at Bartley Road";"1.3439275,103.87277619999998"
"Singapore ~ Singapore Expo Hall 5 &amp";"1.3335251,103.95953699999995"
" Hall 6";"41.34582959999999,-89.21851449999997"
"Singapore ????";"1.352083,103.81983600000001"
"Singapore 470 Upper Serangoon Rd, Singapore";"1.3440598,103.87089700000001"
"Singapore The Quinn";"1.3439275,103.87277619999998"
" ERROR! Input:Singapore Sujudku"
"Singapore The Quinn";"1.3439275,103.87277619999998"
"Singapore Masterpiece Child Education";"1.34533,103.87065469999993"
"Singapore White House Washinton DC USA";"38.8976763,-77.03652979999998"
"Singapore National University Hospital";"1.2951532,103.78330759999994"
"Singapore Prince Georges Park Residence";"1.2907563,103.78033170000003"
"Singapore NUH Medical Centre";"1.2934652,103.78447329999995"
"Singapore National University Hospital";"1.2951532,103.78330759999994"
"Singapore NUS Yong Loo Lin School of Medicine";"1.2955223,103.78057939999997"
"Singapore King Edward VII Hall";"1.2923976,103.78107729999999"
"Singapore NUHS Tower Block";"1.2922814,103.78349939999998"
"Singapore The Pipe District";"1.2881279,103.78306040000007"
"Singapore NUH Kent Ridge Wing";"1.293483,103.78341079999996"
"Singapore Singapore Science Park I";"1.2906055,103.78841510000007"
"Singapore Kent Ridge, Singapore";"1.2838852,103.79129450000005"
" ERROR! Input:Singapore Soulscape SG"
"Singapore National University Hospital, Kent Ridge Wing";"1.2941445,103.78294920000008"
"Singapore Coffee Bean &amp";"1.2921088,103.85643119999997"
" ERROR! Input: Tea Leaf @NUH"
"Singapore The Coffee Bean and Tea Leaf @ NUH";"1.2942746,103.78402400000004"
" Emergency";"1.2951532,103.78330759999994"
" Emergency";"33.7461027,72.81755169999997"
"Singapore National University Hospital Singapore (NUHS)";"1.2951532,103.78330759999994"
"Singapore NUS Science Library";"1.2951379,103.78007300000002"
"Singapore Blk 71 Ayer rajah cres";"1.2967417,103.7866636"
"Singapore Md6 @ Nus";"1.29534,103.78152599999999"
"Singapore Llao Llao At NUH Medical Centre";"1.2937296,103.78444489999993"
"Singapore Nuh A&amp";"1.2951532,103.78330759999994"
"E";"51.4556432,7.011555199999975"
"Singapore Kent Ridge MRT Station";"1.2924922,103.78489160000004"
"Singapore Blk71";"1.2967417,103.7866636"
"Singapore APEC - Asia-Pacific Economic Cooperation";"1.2909049,103.77804190000006"
"Singapore NUH Children A&amp";"1.2951532,103.78330759999994"
"E";"51.4556432,7.011555199999975"
"Singapore Seasonal Salad Bar, One at Kent Ridge";"1.3318446,103.84947260000001"
"Singapore Starbucks at NUH Medical Center";"1.3616635,103.99132259999999"
"Singapore Ward 47 NUH";"1.2951532,103.78330759999994"
"Singapore Science Park Drive";"1.2906055,103.78841510000007"
"Singapore Singapore Science Park II";"1.28646,103.781881"
"Singapore Sheares Hall Block B";"1.291437,103.77564280000001"
"Singapore NUH Kopitiam";"1.345871,103.75089739999999"
"Singapore NUH Kent Ridge Wing Ward 9A";"1.2951532,103.78330759999994"
"Singapore Gymmboxx Signature";"1.2877341,103.79047409999998"
"Singapore NUH Emergency";"1.2951532,103.78330759999994"
"Singapore Tahir Foundation Building";"1.29569,103.78017950000003"
"Singapore Penang Street At Nuh Medical Ctr";"1.2951532,103.78330759999994"
"Singapore NUS Alice Lee Centre for Nursing Studies";"1.295892,103.78163799999993"
"Singapore NUH Ward 51";"1.2951532,103.78330759999994"
"Singapore Starbucks Singapore";"1.3616635,103.99132259999999"
"Singapore Thomson Reuters Singapore @ 18 Science Park";"1.2902966,103.78825619999998"
"Singapore Nus Medical Library";"1.29534,103.78152599999999"
"Singapore Nuh Main Building";"1.294102,103.78323090000004"
"Singapore Science Park II, The Gemini";"1.2887388,103.78330640000001"
"Singapore Xin Wang Hong Kong Caf� at NUH Medical Centre";"1.2647704,103.82021940000004"
"Singapore NUS University @ Singapore";"1.2966426,103.77639390000002"
"Singapore Kent Ridge Wing NUH";"1.293483,103.78341079999996"
"Singapore Kian Teck San Estate, Singapore";"1.3306239,103.69346539999992"
"Singapore Tang Tea House - Jurong West";"1.3528676,103.725911"
"Singapore Jurong West St42 Blk 408";"1.3548105,103.72262669999998"
"Singapore Blk 409 Jurong West St 42";"1.3541187,103.72519869999996"
"Singapore Blk 411 Jurong West Street 42";"1.3537482,103.72505610000007"
"Singapore ???";"1.352083,103.81983600000001"
" ERROR! Input:Singapore My comfort space with comfy bed and pillow at Jurong West St 42 Blk 411"
"Singapore Soos Home";"1.3287815,103.79475279999997"
" ERROR! Input:Singapore Mods Kitchen"
"Singapore Jurong West Street 42 Blk 412";"1.3532789,103.72607100000005"
"Singapore Blk 410, Jurong West Street 42";"1.3538225,103.7261307"
"Singapore Cat City";"1.2966296,103.8550702"
" ERROR! Input:Singapore LovelyBlessedHome! (:"
" ERROR! Input:Singapore Love Nest , Home 4 My Loves"
"Singapore Jurong West St 42 Block 408";"1.3548224,103.72276940000006"
" ERROR! Input:Singapore Mod De Mamas Kitchen"
"Singapore Casino Royale Bar@Resort World Sentosa";"1.255635,103.81955500000004"
"Singapore Blk 431 Jurong West Street 42";"1.351896,103.71690039999999"
"Singapore Kusu Island";"1.2232435,103.8611194"
"Singapore My First Skool";"1.380446,103.8349025"
"Singapore Lorong Sesuai";"1.351986,103.7664694"
" ERROR! Input:Singapore Thebaketimes"
"Singapore Blk 413 Jurong West Street 42";"1.3533759,103.72495370000001"
"Singapore Block 332 Jurong East Avenue 1 #08-1768";"1.3516893,103.73022900000001"
"Singapore Jln Lam Sam";"1.3770665,103.7326299"
"Singapore Kenny Cafe";"1.35363,103.70374800000002"
"Singapore The Swimming Place";"1.3467529,103.72866180000005"
"Singapore Home sweet home &lt";"1.316979,103.88767929999995"
"3";"40.81970279999999,-74.11878239999999"
" ERROR! Input:Singapore Memilikimu"
