"Input";"Coordinates"
"Singapore Kaki Bukit Autohub";"1.3372746,103.90067950000002"
"Singapore Ubi Avenue, Singapore";"1.3264021,103.8987505"
"Singapore Bedok Mall,singapore";"1.324877,103.92921990000002"
"Singapore sgCarMart.com";"1.331861,103.90117899999996"
"Singapore Blk 638 Bedok Reservoir Rd";"1.331431,103.90422699999999"
"Singapore Blk 339 Ubi Avenue 1";"1.326419,103.90184399999998"
"Singapore Ubi 301 Food House";"1.330744,103.90212500000007"
"Singapore Blk 329 Ubi Avenue 1";"1.327036,103.90473399999996"
"Singapore Blk 318 Ubi Avenue 1";"1.3284575,103.90335110000001"
"Singapore MSL Building";"1.3305817,103.89912879999997"
"Singapore Ubi";"1.3263276,103.89623899999992"
"Singapore Osaka Japan";"1.2811964,103.8510182"
"Singapore Ubi Ave 1 Blk 330";"1.3264643,103.90405940000005"
"Singapore Blk 315,ubi ave 1 400315";"1.329339,103.90308400000004"
"Singapore Changi Expo";"1.3366851,103.96037950000004"
"Singapore Eunos Link";"1.3316927,103.90259349999997"
"Singapore Wihardja";"1.338451,103.74949900000001"
"Singapore Blk 314, Ubi Avenue 1";"1.3293799,103.90359119999994"
"Singapore Xian ? Seafood La La Beehoon";"1.329443,103.90125699999999"
"Singapore 338 Ubi Avenue 1";"1.326124,103.90194989999998"
"Singapore Eunos Mansion";"1.3298667,103.90561219999995"
"Singapore Blk 322 Ubi Ave 1";"1.32774,103.90456369999993"
"Singapore Ubistro301";"1.4586536,103.82183699999996"
"Singapore Toyota Borneo Motors@Ubi";"1.34176,103.75583000000006"
"Singapore Pulau Semakau";"1.2064868,103.77091769999993"
"Singapore Pulau Hantu Besar";"1.2247388,103.74863529999993"
"Singapore Kampong Bugis, Singapore";"1.3076771,103.86605629999997"
"Singapore Pulau Hantu";"1.2249821,103.75245010000003"
"Singapore Semakau Island";"1.2064868,103.77091769999993"
"Singapore Semakau";"1.2064868,103.77091769999993"
"Singapore Waters Off Pulau Semakau";"1.2064868,103.77091769999993"
"Singapore Pulau Semakau";"1.2064868,103.77091769999993"
"Singapore ?????";"1.352083,103.81983600000001"
"Singapore Semakau Island";"1.2064868,103.77091769999993"
"Singapore Pulau Hantu Island";"1.2249821,103.75245010000003"
" ERROR! Input:Singapore Sudong Explosive Anchorage"
"Singapore Beting Bemban Besar";"1.2072222,103.74611110000001"
"Singapore Semakau";"1.2064868,103.77091769999993"
"Singapore Symmetry";"1.3038422,103.85922640000001"
" ERROR! Input:Singapore Selat Pauh Anchorage, Singapore"
"Singapore Bukom Club";"1.2530186,103.81541549999997"
"Singapore Kampong Saigon, Singapore";"1.2897222,103.84166670000002"
"Singapore West Cost Pier";"1.2925472,103.76220030000002"
"Singapore Perfect Nail Salon";"1.3014448,103.85836519999998"
"Singapore Semakau landfill";"1.2064868,103.77091769999993"
"Singapore Rivervale Crescent Seng Kang";"1.3910578,103.90791460000003"
"Singapore St Annes Church";"1.391528,103.90179599999999"
"Singapore CHIJ St Josephs Convent";"1.391747,103.90246100000002"
"Singapore Punggol Edgedale Plains";"1.3978095,103.9127909"
"Singapore Sengkang EastWay , Singapore";"1.3931294,103.8939871"
"Singapore Edgedale Plains";"1.3979246,103.91287740000007"
"Singapore Rivervale Delta";"1.3903311,103.90766480000002"
"Singapore Rivervale Mall";"1.3922849,103.90442919999998"
"Singapore Nail Haven";"1.2831647,103.84336499999995"
"Singapore ? Home Sweet Home (^?^)-??";"1.304377,103.83388000000002"
"Singapore Rivervale Arc";"1.3895417,103.9096389"
"Singapore Edgedale Plains";"1.3979246,103.91287740000007"
"Singapore Waterwoods";"1.3908262,103.9125914"
"Singapore Rivervale Crescent";"1.3910578,103.90791460000003"
"Singapore Mount Faber";"1.2737864,103.81749639999998"
"Singapore NEX@Serangoon";"1.3507722,103.8722242"
" ERROR! Input:Singapore Rivervale Crest Condo"
"Singapore Punggol Field Walk";"1.3921887,103.91269269999998"
"Singapore Punggol Plaza";"1.394228,103.91301599999997"
"Singapore Punggol Home";"1.4051141,103.8990705"
"Singapore Waterway Point";"1.4061464,103.90186790000007"
"Singapore Rivervale Primary School";"1.3932862,103.90443490000007"
"Singapore ??";"1.352083,103.81983600000001"
"Singapore Pulau Pombo, Ambon - Maluku";"-3.5305556,128.37694439999996"
"Singapore Nihon Mura @ Punggol Plaza";"1.394273,103.91294489999996"
"Singapore River Isles Condominium at Punggol Central/ Edgedale Plains";"1.3971975,103.91313820000005"
"Singapore Blk 182 Rivervale Cresscent";"1.390561,103.90856800000006"
" ERROR! Input:Singapore Jeris Turf"
"Singapore Arulmigu Velmurugan Gnanamuneeswarar Temple";"1.3887738,103.90818509999997"
"Singapore Mee Toh School";"1.3947729,103.90893329999994"
"Singapore Sungei Serangoon Park Connector";"1.3859183,103.90845409999997"
"Singapore Marina Bay Gardens";"1.2815683,103.86361320000003"
"Singapore River Isles, Singapore";"1.3971975,103.91313820000005"
"Singapore Changi Airport T1";"1.3644202,103.99153079999996"
"Singapore Coral Edge @ Edgedale Plains";"1.3939077,103.91260220000004"
"Singapore Venetian Hotel, Macau";"22.1470331,113.55983900000001"
"Singapore Bandung,Indonesia";"-6.9039576,107.58016079999993"
"Singapore Milk &amp";"1.314716,103.89496350000002"
" Honey";"44.9877964,-93.2576229"
"Singapore Nihon Mura Express Rivervale Mall";"1.3919342,103.90476999999998"
"Singapore Blk 157C Rivervale Crest";"1.387868,103.90775200000007"
"Singapore North Spring Primary School";"1.386881,103.90360899999996"
" ERROR! Input:Singapore Anfield Stadium"
