"Input";"Coordinates"
"Singapore Pulau Tekong Gym";"1.4142719,104.03867289999994"
"Singapore Tekong Resort &amp";"1.4142719,104.03867289999994"
" Chalet";"42.08000800000001,-87.75370499999997"
"Singapore Pulau Tekong Camp";"1.4073389,104.02915689999998"
"Singapore Pulau Tekong Chalet";"1.4142719,104.03867289999994"
"Singapore BMTC School 2 Hawk Company";"1.4073389,104.02915689999998"
"Singapore Auditorium @ Pulau Tekong";"1.4142719,104.03867289999994"
"Singapore Changi Ferry Terminal, Singapore";"1.3730378,104.00788460000001"
"Singapore Church of Divine Mercy";"1.3803062,103.93602650000003"
"Singapore Meridian Junior College";"1.3766539,103.93726549999997"
"Singapore IKEA";"1.2880072,103.80602729999998"
"Singapore Pasir Ris Drive 1 .";"1.3713024,103.94858909999994"
"Singapore Mutts &amp";"1.381967,103.92961000000003"
" Mittens";"42.9851272,-85.6811017"
"Singapore IKEA Restaurant and Cafe";"1.3739295,103.93232469999998"
"Singapore Meridian Junior College";"1.3766539,103.93726549999997"
"Singapore White Water Condo, Pasir Ris";"1.3799289,103.93535399999996"
"Singapore Commando Training Camp @ Pasir Ris";"1.3922506,103.93177549999996"
"Singapore Siglap Secondary School";"1.3800274,103.93878410000002"
"Singapore Mainland Tropical Fish Farm";"1.3848365,103.93633120000004"
"Singapore Pasir Ris Drive 10";"1.3791337,103.9378577"
"Singapore Church of Divine Mercy";"1.3803062,103.93602650000003"
"Singapore Universal Studios Singapore";"1.2540421,103.82380839999996"
"Singapore SOSD";"1.3817636,103.9281019"
"Singapore Animal Lovers League - ALL Authorized Page";"1.3869769,103.93035099999997"
"Singapore Pasir Ris Farmway";"1.3885096,103.93776260000004"
"Singapore Pasir Ris St.71 Singapore";"1.3758913,103.93695679999996"
"Singapore Pasir Ris West Plaza";"1.379861,103.93617990000007"
"Singapore Overseas Family School Singapore";"1.3810135,103.94251409999993"
"Singapore Pasir Ris Street 71";"1.3758913,103.93695679999996"
"Singapore Pasir Ris St 72";"1.3804654,103.93647350000003"
"Singapore Pasir Ris Park BBQ Pit";"1.3736043,103.9522005"
" ERROR! Input:Singapore Padang Cermin,Pesawaran,Indonesia"
"Singapore Home Team NS @ Pasir Ris chalet";"1.4586467,103.82192039999995"
"Singapore National Stadium";"1.3043297,103.87433750000002"
"Singapore Animal Lovers League - ALL Authorized Pg";"1.3869769,103.93035099999997"
"Singapore Pasir Ris Water Venture";"1.3850973,103.94352260000005"
" ERROR! Input:Singapore Batman Secret Cave"
" ERROR! Input:Singapore Le Chateu De Sapiera"
"Singapore Green Oval Park";"1.380775,103.93824330000007"
"Singapore Pasir Ris St. 71";"1.3758913,103.93695679999996"
"Singapore Pasir Ris Heights";"1.3821605,103.94168639999998"
"Singapore Pasir Ris Park Holiday Flats";"1.385524,103.94237399999997"
"Singapore Cerebral Palsy Centre";"1.3752994,103.93961430000002"
"Singapore White Water Condominium";"1.3799289,103.93535399999996"
"Singapore Pasir Ris Drive 3";"1.37497,103.95164580000005"
"Singapore Treehouse Villa @ Changi";"1.3910182,103.9827368"
"Singapore SSMC";"1.3825403,103.93491289999997"
" ERROR! Input:Singapore Njero Atiqu"
"Singapore Park View Primary School";"1.3777046,103.93952609999997"
"Singapore Meridian Primary School";"1.376032,103.9350488"
"Singapore Pasir Ris West Plaza Kopitiam";"1.379692,103.93606199999999"
"Singapore Overseas Family School Pasir Ris parent page";"1.3810135,103.94251409999993"
"Singapore TPE";"1.3826994,103.91708889999995"
" ERROR! Input:Singapore Gentle Paws and Friends"
"Singapore Pasir Ris pet Farm";"1.3837759,103.92764769999997"
"Singapore House Of Pups. SG";"1.382934,103.92720699999995"
"Singapore Pulau Hantu";"1.2249821,103.75245010000003"
"Singapore Pulau Bukom Shell Petroleum";"1.2287062,103.76789150000002"
"Singapore Port of pasir panjang,singapore";"1.2831459,103.77389399999993"
"Singapore Shell Refinery Plant Bukom Singapore";"1.234572,103.76222680000001"
"Singapore Pulau Bukom";"1.234572,103.76222680000001"
"Singapore Pulau Bukom Shell Oil Refinery Island";"1.234572,103.76222680000001"
"Singapore Pulau Bukom";"1.234572,103.76222680000001"
"Singapore Pulau Hantu Kecil";"1.2249821,103.75245010000003"
"Singapore Shell Eastern Petroleum Limited Company @ Pulau Bukom Island Singapore";"1.2287062,103.76789150000002"
"Singapore Tankstore @ Pulau Busing Terminal";"1.2734955,103.84123539999996"
"Singapore TankStore Petroleum,Singapore.";"1.2734955,103.84123539999996"
"Singapore Shell Eastern Petroleum, Pulau Bukom";"1.2287062,103.76789150000002"
"Singapore Pulau Bukom Jetty";"1.234572,103.76222680000001"
"Singapore Pulau Hantu Kechil";"1.2249821,103.75245010000003"
"Singapore Royal Carribean Cruise-Legend of the Seas";"1.2752824,103.84644490000005"
"Singapore Busing Island";"1.234572,103.76222680000001"
"Singapore Shell Eastern Petroleum, Bukom Fire Dept";"1.2287062,103.76789150000002"
"Singapore Masjid Pulau Bukom";"1.2294638,103.76095499999997"
"Singapore Hantu";"1.2249821,103.75245010000003"
"Singapore Bukom Island";"1.234572,103.76222680000001"
"Singapore Gymnasium @ Shell Bukom";"1.3061146,103.7911689"
"Singapore Bukom Shell Jetty";"1.234572,103.76222680000001"
"Singapore Tankstore Oil Terminal";"1.2734955,103.84123539999996"
"Singapore Shell Pulau Bukom Terminal";"1.234572,103.76222680000001"
"Singapore BUKOM TERMINAL,SINGAPORE";"1.234572,103.76222680000001"
"Singapore Shell, Pulau Bukom";"1.3061146,103.7911689"
" ERROR! Input:Singapore Pulau Ular Control Room (Pu3)"
"Singapore Star Cruise (Superstar Virgo)";"1.2732586,103.84243760000004"
" ERROR! Input:Singapore Ulo-ulo Pantai TPI _ Belopa"
"Singapore Pulau Busing";"1.234572,103.76222680000001"
"Singapore Pulau Hantu";"1.2249821,103.75245010000003"
"Singapore Shell Learning Centre, Pulau Bukom";"1.234572,103.76222680000001"
"Singapore Pulau Hantu, Singapura";"1.2249821,103.75245010000003"
"Singapore Anchorage Western Petroleum Bravo";"1.335407,103.75793720000001"
" ERROR! Input:Singapore Toyo Ecc Site Office"
"Singapore Pulau Busing";"1.234572,103.76222680000001"
"Singapore Tank Store Terminal";"1.2734955,103.84123539999996"
"Singapore Din Tai Fung @ Wisma Atria";"1.303887,103.83320500000002"
"Singapore Kamboja";"1.3068959,103.82924179999998"
"Singapore Shell Bukom";"1.234572,103.76222680000001"
"Singapore Palau Bukom";"1.234572,103.76222680000001"
"Singapore Tankstore Oil Terminal Singapore";"1.2734955,103.84123539999996"
"Singapore �?o Hantu";"1.2249821,103.75245010000003"
"Singapore Pulau Bukom Kechil";"1.2278033,103.76494909999997"
"Singapore On the Pasir Panjang Sea";"1.3083886,103.72214919999999"
"Singapore Shell Refinery, Pulau Bukom";"1.234572,103.76222680000001"
"Singapore Tankstore Terminal";"1.2734955,103.84123539999996"
"Singapore Bukom";"1.234572,103.76222680000001"
"Singapore Henderson Waves Bridge";"1.2760953,103.81544370000006"
"Singapore Singapore General Hospital";"1.2799181,103.83488239999997"
"Singapore Mount Faber Park";"1.2737864,103.81749639999998"
"Singapore Henderson Waves, Southern Ridges @Mount Faber";"1.2801016,103.80299489999993"
"Singapore Henderson Waves";"1.2760953,103.81544370000006"
"Singapore Mount Faber Park";"1.2737864,103.81749639999998"
"Singapore SAFRA Mount Faber";"1.2775272,103.81716670000003"
"Singapore Faber Bistro @ Mt Faber";"1.2711883,103.8194168"
"Singapore Telok Blangah Crescent";"1.2772406,103.82016539999995"
"Singapore Church of St Teresa, Singapore";"1.2732941,103.82814469999994"
"Singapore Henderson Waves";"1.2760953,103.81544370000006"
"Singapore Safra Mount Faber";"1.2775272,103.81716670000003"
"Singapore Old Habits";"1.272562,103.82253650000007"
"Singapore Wat Ananda Metyarama Thai Buddhist Temple";"1.278296,103.8291481"
" ERROR! Input:Singapore SGH A&amp"
"E";"51.4556432,7.011555199999975"
"Singapore Mount Faber Top";"1.2737864,103.81749639999998"
"Singapore Mount Faber Hilltop";"1.2711883,103.8194168"
"Singapore Teresa Ville";"1.2763165,103.82425020000005"
"Singapore Faber Bistro";"1.2711883,103.8194168"
"Singapore SAFRA Mount Faber";"1.2775272,103.81716670000003"
"Singapore CHIJ Saint Theresas Convent";"1.2752529,103.82212049999998"
"Singapore Starbucks Singapore at Sgh Blk 4";"1.2790436,103.8350792"
"Singapore i Darts Fame";"1.2776025,103.81716879999999"
" ERROR! Input:Singapore Ponyville, Equestria"
"Singapore ??? (summer Garden) at Mount Faber Safra";"1.2775272,103.81716670000003"
"Singapore Telok Blangah Crescent Market";"1.2775651,103.81863929999997"
"Singapore Mount Faber Henderson Waves";"1.2801016,103.80299489999993"
"Singapore PORNS at Mount Faber Safra";"1.27767,103.81699200000003"
"Singapore Good Chance Popiah ????";"1.277358,103.83175200000005"
"Singapore Silat Road Sikh Temple";"1.277055,103.83260100000007"
"Singapore Kopitiam @ SGH";"1.2797816,103.83466850000002"
"Singapore Mount Faber Lookout";"1.2737864,103.81749639999998"
"Singapore Bukit Purmei";"1.2736951,103.82821200000001"
"Singapore O.M.G";"1.352083,103.81983600000001"
"Singapore Faber Point";"1.2737864,103.81749639999998"
"Singapore CHIJ St.Theresas Convent";"1.2752529,103.82212049999998"
"Singapore The Pearl @ Mount Faber";"1.2710653,103.82427729999995"
"Singapore Masjid Al-Amin";"1.27533,103.81935900000008"
"Singapore Summer Garden Mount Faber Safra";"1.2775272,103.81716670000003"
"Singapore K Box @ SAFRA Mount Faber";"1.2775272,103.81716670000003"
"Singapore Superbowl Safra Mt Faber";"1.2774606,103.81721909999999"
"Singapore Faber Point @ Mt. Faber";"1.2737864,103.81749639999998"
"Singapore SGH";"1.2799181,103.83488239999997"
"Singapore Bukit Purmei Road";"1.2735162,103.82598689999998"
"Singapore Rail Corridor";"1.4006414,103.75276359999998"
"Singapore Bukit Purmei Ville";"1.273134,103.824974"
"Singapore Sentosa Boardwalk Singapore";"1.2632194,103.82363959999998"
"Singapore Masjid Temenggong Daeng Ibrahim Telok Blangah Singapura";"1.2663521,103.82429790000003"
" ERROR! Input:Singapore Luvkuching Foster Space"
"Singapore Palawan Beach @ Sentosa";"1.2482777,103.82253739999999"
"Singapore Euhabitat Singapore";"1.3279129,103.90654849999999"
"Singapore Ubi Avenue 1";"1.3264021,103.8987505"
"Singapore Maha Bodhi School";"1.3284092,103.90153029999999"
"Singapore Ducati Singapore";"1.3346918,103.90089139999998"
"Singapore Manjusri Secondary School";"1.3274138,103.90134220000004"
"Singapore Automobile Megamart";"1.3318062,103.90123500000004"
"Singapore Ubi";"1.3263276,103.89623899999992"
"Singapore Jalan Eunos";"1.3243518,103.90566420000005"
"Singapore Enterprise One";"1.3324955,103.90245430000004"
"Singapore Blk 301 Ubi Ave 1";"1.331064,103.90252980000002"
"Singapore Blk 304 Ubi Ave 1";"1.329443,103.90125699999999"
" ERROR! Input:Singapore Homeeyyyy ?"
" ERROR! Input:Singapore Uchiha Hideout"
"Singapore Lee Do Restaurant";"1.331418,103.90124400000002"
"Singapore House of Style Studio";"1.3338536,103.89262350000001"
"Singapore Eunos Technolink";"1.333953,103.90087900000003"
"Singapore Blk 327 Ubi Avenue 1";"1.326892,103.90388289999999"
"Singapore Ubi Ave 1 Blk 318";"1.3284575,103.90335110000001"
"Singapore Enterprise One No 1 Kaki Bukit Rd 1";"1.3324955,103.90245430000004"
"Singapore Blk 302 Ubi ave 1";"1.3302897,103.90087130000006"
"Singapore Grand Theatre @ Marina Bay Sands";"1.2835627,103.86068720000003"
"Singapore 313 Ubi Ave 1";"1.3291477,103.90406180000002"
