"Input";"Coordinates"
"Singapore Jet Aviation (Asia Pacific) Pte Ltd";"1.4214742,103.86508559999993"
"Singapore Maj Aviation Seletar";"1.4121226,103.86847450000005"
"Singapore Miura";"1.3321299,103.69646920000002"
"Singapore Birdcage Bistro";"1.4100376,103.87083389999998"
"Singapore Airbus Helicopters Southeast Asia";"1.4104743,103.86839759999998"
" ERROR! Input:Singapore Seletar Camp (Home Of The Bridging Engineers)"
"Singapore The Oval";"1.4077596,103.86712710000006"
"Singapore ATR Training Facility, Singapore";"1.412501,103.86904800000002"
"Singapore Old Birdcage Walk";"1.4100219,103.87110200000006"
"Singapore ST Aerospace Academy";"1.4182171,103.86275330000001"
"Singapore Air Transport Training College in Seletar";"1.4116791,103.86943480000002"
"Singapore Seok Seng 1954";"1.4124209,103.86833150000007"
" ERROR! Input:Singapore Puma night run Singapore 2016"
"Singapore Seletar Airbase";"1.4166703,103.86655510000003"
"Singapore Seletar East Camp";"1.4115068,103.87446030000001"
"Singapore Seletar Camp 39 SCE";"1.4115068,103.87446030000001"
"Singapore Clover Gac Seletar";"1.40502,103.86242199999992"
"Singapore Piccadilly";"1.4105126,103.87302799999998"
" ERROR! Input:Singapore Vynmal Istana Sangkut"
"Singapore Di Wei Teochew";"1.4073864,103.86797139999999"
"Singapore FlightSchool.sg";"1.41271,103.86984699999994"
"Singapore Seletar Aerospace Park Business Aviation Complex";"1.417446,103.86339399999997"
"Singapore Maida Vale";"1.4054013,103.87005929999998"
"Singapore Mornington Crescent";"1.4072425,103.87127280000004"
"Singapore Bell Helicopter / Cessna @ Seletar Aerospace Park";"1.4067774,103.86568729999999"
"Singapore Bombardier Aerospace Singapore";"1.4054723,103.86477730000001"
"Singapore 312 Old Birdcage Walk";"1.4100376,103.87083389999998"
"Singapore Singapore Flying College";"1.3453201,103.96514720000005"
"Singapore Seletar West Camp Road";"1.412993,103.86218439999993"
"Singapore MAJ Aviation";"1.4121226,103.86847450000005"
"Singapore Seletar Airport";"1.4166703,103.86655510000003"
"Singapore Pratt &amp";"1.3821281,103.97300339999993"
" ERROR! Input: Whitney Component Solutions - Seletar"
"Singapore Pulau Tekong Reservoir";"1.415,104.0441667"
"Singapore Bmtc School 4. Centurions Coy";"1.4073389,104.02915689999998"
"Singapore Bronco Company";"1.3005405,103.84925210000006"
"Singapore Gftc, Pulau Tekong Island";"1.4142719,104.03867289999994"
"Singapore Gftc Pulau Tekong, Singapore South";"1.4142719,104.03867289999994"
"Singapore Pulau Tekong Island";"1.4142719,104.03867289999994"
" ERROR! Input:Singapore GFTC, Camp 1 Tekong"
"Singapore Nex Shopping Centre, Serangoon";"1.3507722,103.8722242"
"Singapore Kombi Rocks";"1.3574531,103.8756333"
"Singapore Nex";"1.3507722,103.8722242"
"Singapore nex Singapore";"1.3507722,103.8722242"
"Singapore Shaw Theatres nex";"1.3504842,103.87164669999993"
"Singapore Serangoon, Singapore";"1.3553567,103.86787079999999"
"Singapore Serangoon Stadium";"1.355831,103.87440059999994"
"Singapore Ichiban Boshi Serangoon Nex";"1.3509851,103.87184769999999"
"Singapore Serangoon Central Singapore";"1.3511816,103.87294120000001"
"Singapore ???@NEX";"1.3507722,103.8722242"
"Singapore The Plain Jane";"1.3565627,103.87355449999995"
"Singapore The Ship Restaurant @ Nex";"1.3499587,103.87296349999997"
"Singapore KOOKS Creamery";"1.356755,103.87361099999998"
"Singapore Swensens @ Nex";"1.3509725,103.87208720000001"
"Singapore Anytime Fitness nex";"1.3510305,103.87240539999993"
"Singapore Eighteen Chefs At Nex Mall";"1.3498266,103.87309140000002"
"Singapore Seoul Garden @Nex";"1.3501731,103.87322310000002"
"Singapore Monster Curry";"1.3510077,103.8720846"
"Singapore Nandos - Nex, Serangoon";"1.3497184,103.87313619999998"
"Singapore Starbucks @ NEX";"1.3506303,103.87223889999996"
"Singapore Sushi Tei";"1.3036098,103.83504600000003"
"Singapore Kabe No Ana";"1.3507394,103.87165759999993"
"Singapore Ministry of Food (M.O.F.) @ NEX";"1.299352,103.85547109999993"
"Singapore Fish &amp";"1.303565,103.83553589999997"
" Co @ NEX";"34.189158,-84.104851"
"Singapore Mad Jack@Nex";"1.3504053,103.87291970000001"
"Singapore Royal Carribean International - Mariner of the Seas";"1.2752824,103.84644490000005"
"Singapore Sushi-Tei";"1.3036098,103.83504600000003"
"Singapore Lenas @ NEX Mall";"1.3509485,103.87178979999999"
"Singapore Paya Lebar Methodist Church";"1.352642,103.87572180000006"
"Singapore Daessiksin Korean Grill Bbq Buffet Restaurant";"1.3692073,103.84917569999993"
"Singapore MadJackCafe";"1.3504053,103.87291970000001"
"Singapore Putien ?? @ NEX";"1.3507002,103.87278509999999"
"Singapore Bali Thai @ Nex";"1.3508794,103.87228879999998"
"Singapore The Factory";"1.37978,103.76038300000005"
"Singapore Milkissimo";"1.3508398,103.87232560000007"
"Singapore So Pho at Nex";"1.3509803,103.87246679999998"
"Singapore Pastamania @NEX";"1.3508071,103.87267840000004"
"Singapore Prata Wala @ Nex";"1.3507468,103.87243280000007"
"Singapore Hot Tomato";"1.3006139,103.84510449999993"
"Singapore Starbucks Singapore";"1.3616635,103.99132259999999"
"Singapore Bibigo Hot Stone";"1.2935869,103.8536229"
"Singapore Ajisen Gourment Town @ NEX";"1.350773,103.87264789999995"
"Singapore Halong Bay, Hanoi.";"20.9100512,107.18390239999997"
"Singapore Tai Lei Loi Kei ?????????(???)";"1.264504,103.821774"
"Singapore Serangoon Ave 2";"1.3518673,103.8690742"
"Singapore Sogurt Nex (:";"1.350903,103.872477"
"Singapore Snowman Desserts";"1.3503243,103.87246010000001"
"Singapore Lorong Liew Lian";"1.3501782,103.87745070000005"
"Singapore Singapore Institute of Management";"1.3292318,103.77611520000005"
"Singapore The Living Cafe";"1.3309969,103.79646109999999"
"Singapore La Nonna";"1.3243268,103.79674279999995"
"Singapore Sopra Ginza";"1.2940968,103.84246959999996"
"Singapore Sixth Avenue MRT Station";"1.3310486,103.79668190000007"
"Singapore Sim Management House";"1.3259209,103.79994999999997"
"Singapore Ubud, Bali";"-8.462607199999999,115.24068220000004"
"Singapore Namly Garden";"1.3245151,103.79538960000002"
"Singapore Namly Avenue";"1.3265305,103.79789890000006"
"Singapore Sugared - Body Sugaring Singapore";"1.3298489,103.79946689999997"
"Singapore Balanced Living in Singapore";"1.3310023,103.79644830000007"
"Singapore NAMLY Animal Clinic";"1.324246,103.79663700000003"
"Singapore La Nonna @ Namly Place";"1.3243268,103.79674279999995"
"Singapore First Avenue";"1.3281405,103.80045169999994"
"Singapore Namly Garden, Singapore";"1.3245151,103.79538960000002"
"Singapore The Odyssey";"1.3797607,103.96234379999999"
"Singapore Sixth Avenue, Namly Garden";"1.3245151,103.79538960000002"
"Singapore Bukit Timah - Second Avenue";"1.3299772,103.79959080000003"
"Singapore SIM-Singapore Institute Of Management";"1.329511,103.77623199999994"
"Singapore SIM Professional Development";"1.3259209,103.79994999999997"
"Singapore The Odyssey, Fourth Avenue";"1.328344,103.796605"
"Singapore AlphaBalance";"1.2960616,103.78687620000005"
"Singapore Third Ave";"1.3287067,103.7982399"
" ERROR! Input:Singapore 100 Years Ago"
"Singapore Odyssey - the Global Preschool";"1.301864,103.88758000000007"
"Singapore SIM Management House Namly Avenue";"1.3259209,103.79994999999997"
"Singapore Namly Drive";"1.3238284,103.79666339999994"
"Singapore Namly Crescent";"1.326497,103.79547079999998"
"Singapore Second Avenue";"1.3299772,103.79959080000003"
"Singapore Namly";"1.3233195,103.79762000000005"
"Singapore Malioboro, Yogyakarta";"-7.796250199999999,110.36467300000004"
"Singapore Namly Avenue Singapore";"1.3265305,103.79789890000006"
"Singapore Namly Place";"1.3233195,103.79762000000005"
"Singapore Pilates Flow @2nd";"1.3299138,103.7994999"
"Singapore Balanced Living";"1.3310023,103.79644830000007"
"Singapore Gymnastics Education";"1.3433002,103.77573410000002"
"Singapore Shamrock Park Namly View";"1.3230888,103.79681099999993"
"Singapore Bukit Timah First Avenue";"1.3280191,103.8004085"
"Singapore The Moving Body - Guthrie House";"1.3306849,103.79567500000007"
"Singapore Namly Grove";"1.325952,103.79620290000003"
"Singapore Sixth Avenue, Namly Drive";"1.3238284,103.79666339999994"
"Singapore Fifth Avenue Condo";"1.330196,103.79589899999996"
"Singapore SIM University Namly";"1.329511,103.77623199999994"
"Singapore Namly View";"1.324771,103.7979937"
"Singapore 733 Bukit Timah Road Second Avenue Junction";"1.3299772,103.79959080000003"
"Singapore Nus - Evans Road Outdoor Court";"1.3204514,103.81987470000001"
" ERROR! Input:Singapore Hansville"
" ERROR! Input:Singapore Leon Iloilo Philippines"
"Singapore Tanah Merah MRT Station";"1.3272329,103.94654149999997"
"Singapore Changi Airport T2";"1.355322,103.988337"
"Singapore East Meadows Condominium";"1.328698,103.94403399999999"
"Singapore Tanah Merah, Singapore";"1.3272329,103.94654149999997"
"Singapore Casa Merah Condo";"1.3293002,103.9459286"
"Singapore Optima @ Tanah Merah";"1.328421,103.94694800000002"
"Singapore Stratford Court";"1.32824,103.9516529"
"Singapore Changi Airport Terminal 1";"1.3644202,103.99153079999996"
"Singapore Urban Vista Condo";"1.3277201,103.94453810000005"
"Singapore The Glades at Tanah Merah";"1.3272329,103.94654149999997"
"Singapore Singapore ArtScience Museum";"1.2862738,103.85926629999994"
"Singapore Changi Airport Terminal T3";"1.3644202,103.99153079999996"
"Singapore Tanah Merah Kechil Ave";"1.3296443,103.94604520000007"
"Singapore Urban Vista at Tenah Merah";"1.3277201,103.94453810000005"
"Singapore Urban Vista";"1.3277201,103.94453810000005"
" ERROR! Input:Singapore The White House With Obama"
"Singapore Summer Gardens";"1.3301733,103.95106940000005"
"Singapore Changi Airport T3";"1.356716,103.98650999999995"
"Singapore Inside MRT";"1.2931857,103.85246039999993"
"Singapore DManor";"1.3293843,103.94633520000002"
"Singapore Changi airport MRT";"1.357371,103.98883599999999"
"Singapore Marina Bay, Singapore";"1.2877935,103.86655489999998"
"Singapore Cloud Forest @ Gardens By The Bay";"22.3129666,114.04128190000006"
"Singapore Cloud Forest @ Gardens By The Bay";"1.2838677,103.86600240000007"
"Singapore honestbee";"1.291052,103.825649"
"Singapore Bedok Park Connector";"1.3375911,103.93773450000003"
"Singapore ??????";"1.352083,103.81983600000001"
"Singapore East Meadows";"1.328698,103.94403399999999"
"Singapore Changi Airport T1";"1.3644202,103.99153079999996"
"Singapore Tanah Merah";"1.3272329,103.94654149999997"
"Singapore Singapore Changi Airport Terminal 1";"1.3644202,103.99153079999996"
"Singapore Jalan Tanjong";"1.32888,103.94320549999998"
"Singapore Katong Flower Shop";"1.3343865,103.9708008"
"Singapore Jurong West Secondary School";"1.3359257,103.70160280000005"
"Singapore Esplanade Drive";"1.2890703,103.8543886"
"Singapore Grand Canyon USA";"36.112764,-113.9960696"
"Singapore Expo Singapore";"1.3335251,103.95953699999995"
"Singapore In the MRT train";"1.3551897,103.85438220000003"
"Singapore East Coast Lagoon Village";"1.306833,103.93498999999997"
"Singapore Ossia International Building";"1.3309723,103.95201539999994"
"Singapore Tanah Merah Playground";"1.3272329,103.94654149999997"
"Singapore Changi Airport Terminal 3 Departure Hall";"1.356716,103.98650999999995"
" ERROR! Input:Singapore Kuala Kencana, Timika, Indonesia"
"Singapore T3 Changi Airport";"1.356716,103.98650999999995"
"Singapore Tampines One";"1.3542633,103.94502950000003"
"Singapore Optima";"1.328421,103.94694800000002"
"Singapore Tana Merah Singapore";"1.3272329,103.94654149999997"
"Singapore Chye Heng Orchid Garden";"1.4182287,103.8287348"
"Singapore Changi, Singapore";"1.3644202,103.99153079999996"
"Singapore Singapore University of Technology and Design";"1.3402914,103.96316360000003"
"Singapore Max Pavilion";"1.3388583,103.96279690000006"
"Singapore The Max Pavilion @ Singapore Expo";"1.3388583,103.96279690000006"
"Singapore The Max Pavillion @ Singapore Expo Hall 10";"1.3388583,103.96279690000006"
