"Input";"Coordinates"
"Singapore Wings of Times , Sentosa Island , Singapore";"1.2513208,103.81708860000003"
"Singapore Zoukout@sentosa";"1.2494041,103.83032090000006"
"Singapore Keppel Club";"1.2690318,103.80687490000003"
"Singapore Palawan Beach, Sentosa Island";"1.2482777,103.82253739999999"
"Singapore Sentosa Luge &amp";"1.251937,103.81693849999999"
" Skyride";"44.8612415,-93.83195060000003"
"Singapore Le M�ridien Singapore, Sentosa";"1.2532454,103.81961260000003"
"Singapore Siloso Beach Resort, Sentosa";"1.2545582,103.81477870000003"
"Singapore Peony Jade @ Keppel Club";"1.2668922,103.80746820000002"
"Singapore Bikini Bar Singapore";"1.2525674,103.81584759999998"
"Singapore Ancient Egypt - Universal Studios Singapore";"1.2540421,103.82380839999996"
"Singapore Parkway Parade";"1.3019864,103.90472410000007"
"Singapore Grand Mercure Singapore Roxy";"1.303397,103.90461989999994"
"Singapore 328 Katong Laksa";"1.3051485,103.90323860000001"
"Singapore Chin Mee Chin Confectionery";"1.3071719,103.907062"
"Singapore I12 Katong";"1.3052458,103.90503560000002"
"Singapore Village Hotel Katong";"1.303713,103.90293489999999"
"Singapore Sinpopo Brand";"1.3062369,103.90454870000008"
"Singapore Nine Thirty By Awfully Chocolate";"1.3061701,103.90490590000002"
"Singapore Group Therapy Coffee Katong V";"1.3033594,103.90311739999993"
"Singapore Carvers &amp";"1.304906,103.90299349999998"
" Co";"39.5500507,-105.78206740000002"
"Singapore 112@Katong";"1.3052458,103.90503560000002"
"Singapore Hotel Indigo Singapore Katong";"1.3049783,103.90432039999996"
"Singapore Crab in da Bag at Big Splash";"1.3007378,103.87315179999996"
"Singapore Rabbit Carrot Gun";"1.3049043,103.90309439999999"
"Singapore Maple &amp";"1.3494842,103.9332134"
" Market";"-33.7378131,18.969159200000036"
"Singapore Awfully Chocolate";"1.2634292,103.82176730000003"
"Singapore Parkland Green, East Coast Park, Singapore";"1.299953,103.907647"
"Singapore Atmosphere Bistro";"1.2985118,103.90592349999997"
"Singapore Fatboys The Burger Bar (Katong)";"1.3067012,103.90474740000002"
"Singapore Roland Restaurant Pte Ltd";"1.301321,103.90640630000007"
"Singapore Jurong Bird Park, Singapore";"1.3187065,103.70644170000003"
"Singapore Alibabar the Hawker Bar";"1.2874968,103.8052007"
"Singapore Birds of Paradise Gelato Boutique";"1.305148,103.90353200000004"
"Singapore GastroSmiths";"1.3052339,103.90504639999995"
"Singapore Chinese Swimming Club";"1.2995128,103.90092379999999"
"Singapore Church of the Holy Family (Singapore)";"1.3065886,103.90677600000004"
"Singapore Batter Fluffy Flaps";"1.3055281,103.90402429999995"
"Singapore Katong Shopping Centre";"1.3039671,103.90128649999997"
"Singapore East Cost Park Beach Singapore";"1.3007842,103.91218660000004"
"Singapore Starbucks at East Coast Park Parkland Green";"1.2989905,103.90671859999998"
"Singapore I12 Katong Mall";"1.3052458,103.90503560000002"
"Singapore Doong Ji Korean Restaurant";"1.307461,103.90740400000004"
"Singapore Ichiban Boshi Parkway Parade";"1.3020428,103.90518339999994"
"Singapore Pick Me Up Cafe";"1.3911841,103.876308"
"Singapore Fish &amp";"1.303565,103.83553589999997"
" Co. Singapore";"1.2903553,103.84959179999998"
"Singapore Marine Parade";"1.3019687,103.89708210000003"
"Singapore Wine Connection Bistro I12 Katong";"1.3051582,103.90503030000002"
"Singapore The Seafood International Market &amp";"1.3059564,103.83132590000002"
" Restaurant";"34.1454904,-118.15248220000001"
"Singapore Sinpopo Brand";"1.3062369,103.90454870000008"
"Singapore Marine Parade";"1.3019687,103.89708210000003"
"Singapore Churros Factory Singapore";"1.37978,103.76038300000005"
"Singapore Starbucks@ECP";"1.2989905,103.90671859999998"
"Singapore Big Splash";"1.2975823,103.90029090000007"
"Singapore SandBank";"1.2984812,103.90575220000005"
"Singapore The Ballroom at East Coast by AB Shaik";"1.3051239,103.90432370000008"
"Singapore East Coast Park Area B";"1.3007842,103.91218660000004"
"Singapore Wat Pho Bangkok, Thailand";"13.7436854,100.48892690000002"
"Singapore Cornerstone Community Church Singapore";"1.304617,103.90188799999999"
"Singapore Wheelers Estate";"1.4093858,103.86811660000001"
"Singapore Soek Seng 1954 Bicycle Caf�";"1.4124209,103.86833150000007"
"Singapore Seletar Airport";"1.4166703,103.86655510000003"
"Singapore Wildseed Cafe";"1.4081795,103.86812229999998"
"Singapore The Summerhouse";"1.407993,103.86835199999996"
"Singapore Seletar Camp";"1.4115068,103.87446030000001"
"Singapore YOUNGS Bar &amp";"1.4070074,103.86752419999993"
" Restaurant";"34.1454904,-118.15248220000001"
"Singapore Seletar, Singapore";"1.405163,103.86634179999999"
"Singapore Seletar North Link";"1.4254112,103.88261349999993"
"Singapore Singapore Youth Flying Club";"1.4141591,103.86324709999997"
"Singapore Pulau Punggol Barat";"1.4271702,103.8767024"
"Singapore Secret Fishing Spot";"1.469808,103.81966890000001"
"Singapore Seletar Link";"1.4070796,103.88439019999998"
"Singapore PoPPy Flora Studio";"1.2929462,103.85130100000003"
"Singapore Seletar Aerospace View";"1.4118944,103.8700159"
"Singapore The Summerhouse Festive Market";"1.407993,103.86835199999996"
