"Input";"Coordinates"
"Singapore Two Chefs Eating Place @ Sin Ming";"1.362227,103.83497119999993"
"Singapore Bishan - Ang Mo Kio Park";"1.3634088,103.8435614"
" ERROR! Input:Singapore Shithole"
"Singapore Bishan Park Secondary School";"1.3643739,103.83288549999997"
"Singapore Ai Tong School";"1.3610213,103.83267580000006"
"Singapore Bishan Park Condominium";"1.366107,103.83200399999998"
"Singapore Flame Tree Park";"1.3609849,103.82895699999995"
"Singapore Thomson Grand Singapore";"1.3656911,103.82978819999994"
"Singapore Bishan Park";"1.3634088,103.8435614"
"Singapore Bishan Park 1";"1.3634088,103.8435614"
"Singapore Faber Gardens";"1.3626655,103.82963689999997"
" ERROR! Input:Singapore Rawajitu Selatan"
"Singapore Siem Reap, Cambodia";"1.3644202,103.99153079999996"
"Singapore Peirce Secondary School";"1.3662806,103.82980569999995"
"Singapore Sin Ming Court";"1.3632386,103.83609990000002"
"Singapore The Flying Squirrel Private works";"1.2798595,103.84727580000003"
"Singapore Two Chefs";"1.3071705,103.80010620000007"
"Singapore Fulton Avenue";"1.3617933,103.83375260000003"
"Singapore Bio Class";"1.293984,103.832088"
"Singapore Bishan Park Secondary School";"1.3643739,103.83288549999997"
"Singapore Desaru Ostrich Farm";"1.5402778,104.26805560000003"
"Singapore Marina Bay Floating Stadium";"1.288153,103.85902799999997"
"Singapore Country Esquire";"1.3599394,103.83102839999992"
"Singapore Blk 407 Sin Ming Avenue";"1.363462,103.83405100000004"
"Singapore Pierce Secondary School";"1.3662806,103.82980569999995"
"Singapore Flame Tree Park Condo";"1.3609849,103.82895699999995"
"Singapore Bright Hill Bishan Point Condo";"1.359731,103.8326214"
"Singapore Faber Garden Condominium";"1.3626655,103.82963689999997"
"Singapore Amk Avenue 3";"1.3693311,103.85577450000005"
"Singapore Bishan-Ang Mio Park";"1.3634088,103.8435614"
"Singapore Faber Garden, Singapore";"1.3626655,103.82963689999997"
"Singapore Orchard Lucky Plaza";"1.3044087,103.83400069999993"
"Singapore Botanic Gardens,Singapore";"1.3138397,103.81591359999993"
"Singapore Bishan Park";"1.3634088,103.8435614"
"Singapore Country Grandeur, Singapore";"1.3608075,103.83124339999995"
" ERROR! Input:Singapore Jalan Tambur, Island Park Rd"
"Singapore Wisma Atria,orchard";"1.303656,103.83287810000002"
"Singapore Island Gardens Walk";"1.3617887,103.82880699999998"
"Singapore Bishan Angmokio Park";"1.3634088,103.8435614"
"Singapore Two Chefs Blk 409 Sin Ming Ave";"1.362227,103.83497119999993"
"Singapore THOMSON GRAND, Singapore Private Apartments &amp";"1.3656911,103.82978819999994"
" Condominiums";"26.460724,-82.15169630000003"
"Singapore SICC (Island)";"1.3419133,103.81121860000007"
"Singapore KPE";"1.337191,103.89575509999997"
"Singapore Marina Bay Sands Shoppes";"1.2841037,103.85957929999995"
"Singapore Dhl Supply Chain Greenwich Drive";"1.364736,103.90714739999999"
"Singapore No. 58 Defu Lane 1";"1.3614139,103.90249900000003"
" ERROR! Input:Singapore DHL Asia Pacific Innovation Center"
"Singapore Kee Song Group (??????)";"1.361077,103.90246200000001"
" ERROR! Input:Singapore Secret Bear Cave"
"Singapore Taxi";"1.3599134,103.83717580000007"
"Singapore 2 Ang Mo Kio Street 63";"1.3850389,103.84817499999997"
"Singapore In The Taxi (:";"1.3599134,103.83717580000007"
"Singapore Transcab Services Pte Ltd";"1.3842731,103.84874149999996"
"Singapore Defu Flyover";"1.3649916,103.90616420000003"
"Singapore 62A Defu Lane 1";"1.3615489,103.903728"
"Singapore No6 Defu Lane 2";"1.360694,103.90250100000003"
"Singapore Kpe Tunnel";"1.300164,103.85772210000005"
"Singapore Piai Plaza";"1.3754873,103.95175930000005"
"Singapore China Town";"1.2853428,103.84473660000003"
"Singapore The Abyss";"1.2758753,103.84621879999997"
" ERROR! Input:Singapore SBS transit bus 161 towards hougang interchange (:"
"Singapore Raffles Hotel Tiffin Room";"1.2947692,103.85451089999992"
"Singapore Jpot Tampines 1";"1.3544703,103.94471759999999"
"Singapore 6 Defu Lane 2";"1.360694,103.90250100000003"
"Singapore In Bus 72~";"1.3046183,103.90783299999998"
"Singapore STEP Studio";"1.332195,103.889678"
"Singapore Oxley Bizhub Singapore";"1.3327202,103.88990549999994"
"Singapore StarHub Green";"1.3242867,103.8928439"
"Singapore Orange Studios";"1.332661,103.89036199999998"
"Singapore Spicy Thai - Thai Cafe";"1.3212973,103.88729549999994"
"Singapore Singapore Basketball Centre";"1.3210258,103.88757540000006"
"Singapore Knots Cafe and Living";"1.3293507,103.89026050000007"
"Singapore ????????? SHENG HONG TEMPLE";"1.3262386,103.89188530000001"
"Singapore UB One";"1.3334753,103.89147700000001"
"Singapore Manjusri Secondary School";"1.3274138,103.90134220000004"
"Singapore Ubi TechPark";"1.3263276,103.89623899999992"
"Singapore Vertex";"1.29415,103.85342000000003"
"Singapore Rikecool Xpel Sg - Installation Centre";"1.332302,103.89546789999997"
"Singapore Aqueen Hotel Paya Lebar";"1.3221363,103.89153869999996"
"Singapore The City Singapore";"1.3553794,103.86774439999999"
"Singapore Geylang East Swimming Complex";"1.3212261,103.8882155"
"Singapore Give Fun";"1.3321471,103.89195670000004"
"Singapore Tuesdaeg Creative Space";"1.289111,103.84863799999994"
"Singapore Public Transport Security Command";"1.3262837,103.890988"
"Singapore ACRE";"1.331634,103.88997599999993"
"Singapore Traffic Police Headquarters";"1.3301808,103.89145430000008"
"Singapore Oxley Bizhub 2 Singapore";"1.3322976,103.89211"
"Singapore MacPherson Secondary School";"1.3274711,103.88886720000005"
"Singapore OSIM HQ Singapore";"1.3245205,103.8935361"
"Singapore TMRW";"1.3335413,103.8943094"
"Singapore The Studio Loft";"1.3322185,103.8903077"
"Singapore MacPherson MRT Station";"1.3267424,103.88988169999993"
"Singapore Momolato";"1.345871,103.75089739999999"
"Singapore University Cultural Centre, NUS";"1.3015111,103.77188060000003"
"Singapore Singapore";"1.352083,103.81983600000001"
"Singapore Opencrumbcafe";"1.3265063,103.90113510000003"
"Singapore Anchorvale Road";"1.3932076,103.8872566"
"Singapore H&amp";"1.3047412,103.831861"
"M @ Somerset";"37.0920222,-84.60410839999997"
"Singapore Lion Building @ Arumugam Rd";"1.3250657,103.89124519999996"
"Singapore Vertex 33 Ubi Avenue 3, Singapore";"1.33295,103.89413100000002"
" ERROR! Input:Singapore Santa Claus House"
"Singapore Frontier @ 50 Ubi Ave 3";"1.3314275,103.89557949999994"
"Singapore Tamiya - Stargek";"1.330022,103.89004"
"Singapore Esplanade Singapore";"1.2897934,103.85581660000003"
"Singapore Rayxtreme";"1.45211,103.79207999999994"
"Singapore Starhub Green South Wing";"1.3244556,103.89267459999996"
"Singapore School of Clay Arts";"1.3269872,103.89770240000007"
"Singapore fatimah mohsin the wedding gallery";"1.3322708,103.89227370000003"
" ERROR! Input:Singapore PhytoScience The TrendMaker"
"Singapore 10 Ubi Crescent Ubi Techpark Lobby D";"1.3263276,103.89623899999992"
"Singapore Toast Box at Breadtalk Hq";"1.3341533,103.8896479"
"Singapore The Aisle Bridal";"1.332008,103.89204599999994"
"Singapore Macpherson Studio";"1.324508,103.89160700000002"
"Singapore MacRitchie Reservoir Trail";"1.3424606,103.82634929999995"
"Singapore Hillcrest Arcadia";"1.3349327,103.80933440000001"
"Singapore Singapore Island Country Club";"1.3419133,103.81121860000007"
"Singapore Jelutong Tower";"1.3515112,103.80638529999999"
"Singapore Macritchie Nature Reserve";"1.3483925,103.77746279999997"
"Singapore Macritchie Reservoir Jelutong Tower Top";"1.3515112,103.80638529999999"
"Singapore The Greenwood";"1.3353835,103.80590800000004"
"Singapore Dean &amp";"1.3626662,103.76429400000006"
" Deluca, Orchard Singapore";"1.3006044,103.84025550000001"
" ERROR! Input:Singapore Happy Sunday All"
"Singapore SICC";"1.281712,103.85142300000007"
"Singapore The Cheese Artisans Singapore";"1.3313371,103.80684789999998"
"Singapore Hillcrest Arcadia, Arcadia Road";"1.3349327,103.80933440000001"
"Singapore BKE Expressway";"1.39259,103.77426289999994"
"Singapore KSL City, Johor Bahru";"1.4855339,103.76230829999997"
"Singapore SICC Bukit Location";"1.3419133,103.81121860000007"
"Singapore Macritchie Trail Walk";"1.3419705,103.83486530000005"
"Singapore Arcadia Restaurant";"1.3345449,103.8099992"
" ERROR! Input:Singapore Loguehouse"
"Singapore Greenwood Crescent";"1.3357077,103.80575870000007"
"Singapore Bukit Cafe @ SICC - Bukit Location";"1.3415416,103.81075729999998"
"Singapore Singapore Island Golf And Country Club";"1.3419133,103.81121860000007"
"Singapore Singapo City";"1.3553794,103.86774439999999"
"Singapore Lentor Stream";"1.3839091,103.83475829999998"
"Singapore Hillcrest Arcadia";"1.3349327,103.80933440000001"
"Singapore Macritchie Trails";"1.3447621,103.82235059999994"
"Singapore Greenpark Avenue";"1.3367769,103.80720700000006"
"Singapore Greenmead Ave";"1.3340217,103.80719039999997"
"Singapore Hillcrest Arcadia home";"1.3349327,103.80933440000001"
"Singapore Bukit Room @ SICC";"1.3415416,103.81075729999998"
"Singapore Windows On Bukit, SICC";"1.3420307,103.8112112"
"Singapore Greenwood Ave. Singapore";"1.3345112,103.80515200000002"
"Singapore Singapore Island Country Club Bukit";"1.3419133,103.81121860000007"
"Singapore Arcadia Condo";"1.3335413,103.81124210000007"
"Singapore Greenwood Lane";"1.3366561,103.80600079999999"
"Singapore Shanghai Pudong";"1.3164806,103.83540579999999"
"Singapore Changi Airpot Terminal 2";"1.3644202,103.99153079999996"
"Singapore SICC Sime Course";"1.3419133,103.81121860000007"
"Singapore Tampines St 32";"1.353798,103.95820890000005"
"Singapore Wavehouse";"1.25448,103.813853"
"Singapore Eng Neo Flyover";"1.3391654,103.80631930000004"
"Singapore Tanjong Katong Complex Geylang Serai";"1.3163601,103.89449730000001"
"Singapore Shinto Shrine";"1.3447621,103.82235059999994"
"Singapore Bukit Bar @ Sicc";"1.3419475,103.81148009999993"
"Singapore Meritus Mandarin Hotel";"1.3020052,103.83593389999999"
"Singapore SICC (Sime)";"1.3419133,103.81121860000007"
"Singapore Bukit 19Th Hole @Sicc";"1.3419889,103.81142729999999"
"Singapore Arcadia Rd";"1.3334994,103.81255199999998"
"Singapore Greenwood Mews";"1.3345112,103.80515200000002"
"Singapore Singapore Polytechnic Auditorium";"1.3082507,103.77969869999993"
"Singapore Singapore Polytechnic Convention Centre";"1.3082507,103.77969869999993"
"Singapore Foodcourt 3 Singapore Polytechnic";"1.3082507,103.77969869999993"
"Singapore Dover MRT Station";"1.311322,103.77865320000001"
"Singapore T11B Singapore polytechnic";"1.309773,103.77953400000001"
"Singapore SP Convention Centre";"1.3111372,103.7778796"
"Singapore Mount Sinai Drive";"1.3175525,103.78045789999999"
"Singapore Snow City Singapore";"1.3351431,103.73516169999994"
"Singapore Malaysia, Kuala Lumpur, Sunway Lagoon";"3.068987,101.60585000000003"
"Singapore The Marbella";"1.314441,103.77787999999998"
"Singapore Eiffel Tower @ Paris";"48.85837009999999,2.2944813000000295"
"Singapore T11 Square @ SP";"1.3082507,103.77969869999993"
"Singapore Holland Grove View";"1.313155,103.78051700000003"
"Singapore Spectrum";"1.291414,103.76887999999997"
"Singapore Singapore Maritime Academy @SP";"1.3090445,103.78132440000002"
"Singapore Valle";"1.3166123,103.77897039999993"
"Singapore Fullerton Bay Hotel";"1.2838949,103.85354929999994"
"Singapore T11A Singapore Polytechnic";"1.3101981,103.77915830000006"
"Singapore T11 Square";"1.3082507,103.77969869999993"
"Singapore Mount Sinai View";"1.3175614,103.7813883"
"Singapore Singapore Polytechnic 11 Square";"1.3082507,103.77969869999993"
"Singapore Grove Drive";"1.3133358,103.78379169999994"
"Singapore SP Aerohub";"1.3115822,103.77729739999995"
"Singapore McDonalds Singapore Polytechnic";"1.3099768,103.77828249999993"
"Singapore Singapore Institute of Technology - Singapore Polytechnic";"1.3082507,103.77969869999993"
"Singapore Emerald Hill Rd";"1.3036307,103.83954160000008"
"Singapore School Of Coffee";"1.3094155,103.7796128"
"Singapore Singapore Polytechnic T1A building";"1.3082507,103.77969869999993"
"Singapore Valle";"1.3166123,103.77897039999993"
"Singapore Singapore Poly @ Dover";"1.3082507,103.77969869999993"
"Singapore Moonbeam Walk";"1.3187643,103.78154229999996"
"Singapore T12 Singapore Polytechnic";"1.310631,103.77847199999997"
"Singapore Art And Science Museum Singapore";"1.2862738,103.85926629999994"
"Singapore Innovillage";"1.3094155,103.7796128"
"Singapore Dover";"1.311322,103.77865320000001"
"Singapore Singapore Poly FC 3";"1.309773,103.77953400000001"
"Singapore Holland Grove Drive";"1.3137474,103.78035120000004"
"Singapore Singapore Polytechnic Spectrum";"1.3082507,103.77969869999993"
"Singapore Singapore Polytechnic School Of Design";"1.307654,103.78137400000003"
"Singapore Innovillage@SP";"1.3082507,103.77969869999993"
" ERROR! Input:Singapore Superman House"
"Singapore Singapore Polytechnic Skatepark";"1.3082507,103.77969869999993"
"Singapore Dover MRT";"1.311322,103.77865320000001"
"Singapore Tea Tozz Singapore";"1.311884,103.76502640000001"
"Singapore Singapore Poly Food Court 3";"1.3088782,103.77826430000005"
"Singapore Singapore Poly T14";"1.3082507,103.77969869999993"
" ERROR! Input:Singapore Dungeon@ Mt Sinai"
"Singapore Singapore Poly Convention Centre";"1.3111372,103.7778796"
"Singapore Jurong West St 42";"1.3531874,103.72091509999996"
"Singapore Hong Kah, Singapore";"1.3557449,103.71794150000005"
