"Input";"Coordinates"
"Singapore Salon Kream";"1.3260318,103.78415089999999"
"Singapore Salon Kream";"1.31986,103.78113899999994"
"Singapore Salon Kream";"1.3115913,103.794893"
"Singapore Ewart Pk";"1.3239294,103.78392310000004"
"Singapore Maju FCC";"1.3267242,103.77561679999997"
" ERROR! Input:Singapore Gubugsari - Pegandon"
"Singapore Green Corridor";"1.3287533,103.78143460000001"
"Singapore Railway Track (Bukit Timah-Holland Village)";"1.3111618,103.79612589999999"
"Singapore Ewart Park, Singapore";"1.3239294,103.78392310000004"
"Singapore The Star Performing Arts - New Creation Church";"1.3028034,103.84019169999999"
"Singapore Mactan Lapu-Lapu Cebu";"10.3257619,123.977667"
"Singapore Greenleaf Rd,Singapore";"1.3223341,103.78658769999993"
"Singapore Royal Norwegian Ambassadors Residence, Singapore";"1.2814095,103.85101850000001"
"Singapore 24 Ewart Park";"1.3232759,103.78314"
"Singapore Green Leaf Walk";"1.3222144,103.78342840000005"
" ERROR! Input:Singapore Old Holland Rd Big Field"
"Singapore Changi Airport Arrivals Terminal 1";"1.3602741,103.9913573"
"Singapore Ewart Park";"1.3239294,103.78392310000004"
"Singapore Ion Sky";"1.304052,103.83176700000001"
"Singapore Gym @ SIM Ge Campus";"1.3292318,103.77611520000005"
"Singapore Gym at Yo:ha";"1.350415,103.72900300000003"
"Singapore Maju Drive";"1.3299285,103.77326419999997"
"Singapore Railway Track @ Bukit Timah";"1.3342881,103.78114260000007"
"Singapore Coldstorage Jelita";"1.3177151,103.78600649999998"
"Singapore Cabatuan Isabela Philippines";"16.9158263,121.62634890000004"
"Singapore 100 Ulu Pandan Road";"1.3216203,103.77928980000002"
"Singapore Holland Green Singapore";"1.3260318,103.78415089999999"
" ERROR! Input:Singapore RMIT Graduation Convocation 2013 - SIM University"
"Singapore Bukitimah Old Holland Road";"1.3296495,103.78653919999999"
"Singapore Asian Civilisation Museum";"1.2874969,103.85138610000001"
"Singapore Bus Stop 12089, Opp Maju Camp";"1.3265281,103.77574830000003"
"Singapore Holland Green Singapore";"1.3260318,103.78415089999999"
"Singapore Nexus International School, Singapore: School Council";"1.3191723,103.77560040000003"
" ERROR! Input:Singapore Somewhere In The Middle Of The Jungle"
"Singapore Bintan Lagoon Resort";"1.1910563,104.42402909999998"
"Singapore Ulu Pandan Study Room";"1.312218,103.78902600000004"
"Singapore Love Bento";"1.296548,103.85689100000002"
"Singapore 19A Ewart Road";"1.323956,103.78473699999995"
"Singapore K9 World";"1.285496,103.85183899999993"
" ERROR! Input:Singapore 3Glv Studios"
"Singapore Universal Sentosa";"1.2540421,103.82380839999996"
" ERROR! Input:Singapore GlitterWishes"
"Singapore Dubai, UAE";"25.2394441,55.181913200000054"
"Singapore Ion, Sinagpore";"1.3040258,103.83196479999992"
"Singapore XarinaLovely Residence";"1.2877935,103.86655489999998"
"Singapore GRUB";"1.3649593,103.83585889999995"
"Singapore Bishan-Ang Mo Kio Park";"1.3634088,103.8435614"
"Singapore Madam Tussauds Wax Museum Singapore";"1.2538878,103.81764120000003"
"Singapore The Gardens at Bishan";"1.3642209,103.83145109999998"
"Singapore Sin Ming Ave";"1.3632386,103.83609990000002"
"Singapore Peirce Secondary School";"1.3662806,103.82980569999995"
