"Input";"Coordinates"
"Singapore Taman Jurong Shopping Centre";"1.3347793,103.72088680000002"
"Singapore Blk 63 Yung Kuang Rd";"1.331996,103.72251699999993"
"Singapore Blk 64 Yung Kuang Road";"1.332381,103.72244899999998"
"Singapore Chinese Gardens";"1.3386111,103.73000000000002"
"Singapore Jurong Lake";"1.3418479,103.72819260000006"
"Singapore Anytime Fitness Taman Jurong";"1.3352645,103.7215761"
"Singapore Taman Jurong Green Park";"1.3371422,103.71835880000003"
" ERROR! Input:Singapore Princess Castle"
"Singapore Block 337C Tah Ching Road";"1.3372082,103.72192480000001"
"Singapore SPH Print Centre";"1.3218466,103.71754250000004"
"Singapore Blk 122 Yuan Ching Road";"1.335917,103.72378600000002"
"Singapore Jurong Lake Waterfront";"1.3396142,103.7257859"
" ERROR! Input:Singapore RosJunWan Apt"
"Singapore Taman Jurong Community Centre";"1.3354009,103.72172469999998"
"Singapore Sydney Opera House Darling Harbour";"-33.8567844,151.21529669999995"
"Singapore Macdonalds @ SuperBowl";"1.3262888,103.72456480000005"
"Singapore Jurong Christian Church";"1.3365924,103.72205970000005"
"Singapore Raffles Marina";"1.342717,103.63579070000003"
"Singapore Tuas Second Link Checkpoint";"1.3472064,103.63571780000007"
"Singapore Malaysia�Singapore Second Link";"1.3065689,103.82781219999993"
"Singapore Raffles Marina Club House";"1.342717,103.63579070000003"
"Singapore Tiger Brewery Tour";"1.3361749,103.64708100000007"
"Singapore Tuas 2nd Link Singapore Checkpoints";"1.3472064,103.63571780000007"
"Singapore Raffles Marina Country Club";"1.342717,103.63579070000003"
"Singapore Asia Pacific Breweries";"1.3361749,103.64708100000007"
"Singapore Singapore Customs, Second Link, Tuas";"1.3472064,103.63571780000007"
"Singapore Marina Bistro @ Raffles Marina yacht club";"1.342717,103.63579070000003"
"Singapore Legoland Malaysia";"1.4268455,103.62979010000004"
"Singapore Tuas West Extension Project Office";"1.3398692,103.63826130000007"
"Singapore Singapore Tuas Check Point";"1.3472064,103.63571780000007"
"Singapore Tiger Tavern, Asia Pacific Breweries";"1.3361749,103.64708100000007"
"Singapore Raffles Marina Yacht Club";"1.342717,103.63579070000003"
"Singapore HP GSB Centre of Excellence";"1.335831,103.6413986"
"Singapore Tiger Beer Brewery";"1.3361749,103.64708100000007"
"Singapore Captains Table @ Raffles Marina";"1.342717,103.63579070000003"
"Singapore Tuas West Drive";"1.3354094,103.6352306"
"Singapore Raffles Marina";"1.342717,103.63579070000003"
"Singapore Tuas West Road";"1.3325802,103.64055589999998"
"Singapore Aalst Chocolate";"1.334258,103.64319499999999"
"Singapore Tiger Beer Factory";"1.3361749,103.64708100000007"
"Singapore Raffles Marina Light House";"1.3445338,103.63395969999999"
"Singapore HP Indigo Singapore";"1.3358306,103.64139799999998"
"Singapore Singapore Rendezvous";"1.29871,103.84918300000004"
"Singapore Jahor Bahru, Malaysia";"1.4538397,103.76885859999993"
" ERROR! Input:Singapore Singapore Customs"
"Singapore Singapore Customs";"1.3194284,103.84181609999996"
"Singapore Sembcorp Marine Integrated Mega Shipyard";"1.2462924,103.61466900000005"
"Singapore Johor Baru, Malaysia";"1.4538397,103.76885859999993"
"Singapore Tuas Link";"1.3402528,103.6366587"
"Singapore Boilermaster Pte Ltd";"1.2776193,103.63279469999998"
"Singapore Tuas Lighthouse";"1.3414422,103.63531339999997"
"Singapore Firmenich Asia";"1.335544,103.64461200000005"
"Singapore Wonderful Kepulauan Anambas";"3.105545900000001,105.65372309999998"
"Singapore Tuas Checkpoint Departure Car(D2)";"1.4798418,103.62979040000005"
"Singapore Tuas Link 4";"1.3372326,103.63986780000005"
"Singapore Marina Bistro @ Raffles Marina Club";"1.342717,103.63579070000003"
"Singapore Singapore Epson Ind Pte Ltd";"1.33458,103.64139399999999"
