"Input";"Coordinates"
"Singapore Singapore Changi Airport";"1.3644202,103.99153079999996"
"Singapore Changi Naval Base";"1.316759,104.02176409999993"
"Singapore Singapore Changi International Airport Terminal 2 Arrival Hall";"1.3550979,103.98893250000003"
"Singapore McDonalds Changi Airport T2";"1.3535564,103.99010559999999"
"Singapore Paradise Dynasty at Changi Airport Terminal 3";"1.356041,103.98698000000002"
"Singapore Singapore Airlines KrisFlyer Gold Lounge, Terminal 3, Changi Airport";"1.3554466,103.98559739999996"
"Singapore Krispy Kreme Changi Airport T2";"1.3560321,103.98899340000003"
"Singapore SATS Premier Club Lounge, Changi Airport T3";"1.3553681,103.98989430000006"
"Singapore Changi International Airport @T3";"1.3644202,103.99153079999996"
"Singapore Changi International Airport Departure Hall Terminal 3";"1.356428,103.98686199999997"
"Singapore Paris Baguette, at Terminal 2, Changi Airport";"1.3564112,103.98921970000004"
"Singapore Spore Changi Airport Terminal 2 Departure";"1.355322,103.988337"
"Singapore Changi Airport Terminal 2 Arrival";"1.3644202,103.99153079999996"
"Singapore Changi International Airport Terminal 2 Arrival";"1.3644202,103.99153079999996"
"Singapore Singapore International Changi Airport";"1.3644202,103.99153079999996"
"Singapore Singapore Airport T3";"1.3644202,103.99153079999996"
"Singapore Terminal 3@ Changi Airport";"1.3644202,103.99153079999996"
"Singapore The Private Room by Singapore Airlines";"1.2762016,103.84641069999998"
"Singapore Singapore Changi Airport T3 Departure Hall";"1.356716,103.98650999999995"
"Singapore Changi International Airport T2, Departure";"1.3644202,103.99153079999996"
"Singapore Central Thai";"1.355398,103.98865"
"Singapore Poulet at Changi Airport T3";"1.3644202,103.99153079999996"
"Singapore Changi Terminal 2 Depature Hall";"1.3552937,103.9890183"
"Singapore NPCC Camp Resilience";"1.4177728,103.96781480000004"
"Singapore Camp Resilience, Pulau Ubin";"1.4177728,103.96781480000004"
"Singapore Npcc Campsite - Pulau Ubin";"1.4177728,103.96781480000004"
"Singapore Kampong Bahru, Singapore";"1.2728215,103.82867880000003"
"Singapore Camp Resilience";"1.4177728,103.96781480000004"
"Singapore Singapore Civil Defence Academy";"1.366577,103.69212300000004"
"Singapore National Service Training Institute ( NSTI )";"1.364808,103.69082200000003"
"Singapore Civil Defence Academy, Jalan Bahar";"1.366577,103.69212300000004"
