"Input";"Coordinates"
"Singapore Anytime Fitness Sengkang";"1.392335,103.90434340000002"
"Singapore Blk 180D Rivervale Cres";"1.3894009,103.91043749999994"
"Singapore Koufu at Punggol Plaza";"1.394214,103.91291000000001"
"Singapore Blk 128C Punggol Field Walk.";"1.3926538,103.91218129999993"
" ERROR! Input:Singapore Sugar Cove"
"Singapore Rivervale Crescent Sengkang";"1.3910578,103.90791460000003"
"Singapore Raffles Lighthouse";"1.1600119,103.74063430000001"
"Singapore Southern Islands";"1.2229878,103.8542344"
" ERROR! Input:Singapore Selat Pauh Anchorage Spore"
" ERROR! Input:Singapore Sudong Bunkering Alpha Anchorage"
"Singapore Pulau Senang";"1.1716387,103.73615730000006"
" ERROR! Input:Singapore Selat Pauh Anchorage Singapore"
"Singapore Raffles Anchorage Reserve";"1.2948829,103.85447909999993"
"Singapore West OPL Singapore";"1.3295827,103.69140629999993"
"Singapore Sudong Special Purpose Anchorage";"1.207916,103.72022850000008"
" ERROR! Input:Singapore Tagari Balusu"
"Singapore Pulau Satumu";"1.1598748,103.74059239999997"
"Singapore Singapore Straits";"1.2873932,104.14660460000005"
"Singapore Star Cruise Gemini";"1.2732586,103.84243760000004"
"Singapore Anchorage Sudong Bravo";"1.335407,103.75793720000001"
"Singapore Out at Sea!";"1.299782,103.86065899999994"
"Singapore Rafles Singapore";"1.2948829,103.85447909999993"
"Singapore Pulau Nipa Pulau Terluar di Kota Batam Ke Pulauan Riau..";"1.1472222,103.65694439999993"
"Singapore Pulau Sudong";"1.207916,103.72022850000008"
" ERROR! Input:Singapore Selat Pauh Singapore"
"Singapore Superstar Virgo";"1.2732586,103.84243760000004"
"Singapore Anchorage Raffles Petroleum";"1.283847,103.852123"
" ERROR! Input:Singapore Sudong Explosive Anchorage"
"Singapore Nipah Sts";"1.3258294,103.95259959999999"
" ERROR! Input:Singapore Rafles Petroleum Anchorages"
" ERROR! Input:Singapore Selat Pau Ancorage"
"Singapore Pulau Sudong";"1.207916,103.72022850000008"
"Singapore Pulau Pawai";"1.1857045,103.72457250000002"
" ERROR! Input:Singapore Selat Pauh Anchorage Singapore"
"Singapore Senang";"1.1716387,103.73615730000006"
" ERROR! Input:Singapore Sudong Bunkering Bravo Anchorage Singapore"
" ERROR! Input:Singapore Sudong Holding"
"Singapore Southern Island Singapore";"1.2229878,103.8542344"
" ERROR! Input:Singapore Nipa Anchorage"
" ERROR! Input:Singapore Pau Strait Anchorage Petroleum Singapore"
" ERROR! Input:Singapore Sudong Explosive Anchorage"
"Singapore Kepel Terminal";"1.2685141,103.82903060000001"
"Singapore Senang";"1.1716387,103.73615730000006"
"Singapore Pelabuhan PETTA";"1.4380496,103.90580139999997"
"Singapore ???";"1.352083,103.81983600000001"
" ERROR! Input:Singapore Selat Pauh Petroleum Anchorage, Singapore"
"Singapore ASUBA";"1.335407,103.75793720000001"
"Singapore West OPL Singapore";"1.3295827,103.69140629999993"
"Singapore Pulau Sudong Military Airstrip";"1.207916,103.72022850000008"
"Singapore Pawai";"1.1857045,103.72457250000002"
"Singapore ???????????? ?????? ??????";"1.352083,103.81983600000001"
" ERROR! Input:Singapore Pulau Hantu Anchorage"
" ERROR! Input:Singapore Selat Pauh Anchorage"
" ERROR! Input:Singapore Selat Pauh Petroleum Anchorage"
"Singapore AMPED Trampoline Park - Singapore";"1.2929128,103.83884369999998"
"Singapore The Usual Place";"1.345493,103.73067200000003"
"Singapore The Mayfair";"1.3456803,103.73350579999999"
"Singapore Amped Trampoline Jurong";"1.350727,103.72879799999998"
" ERROR! Input:Singapore -=Outer Space=-"
"Singapore yo:HA @ Jurong";"1.350457,103.72896500000002"
"Singapore Jurong East Stadium";"1.3467156,103.72993829999996"
"Singapore Hang Sung Sot";"20.8441886,107.09127190000004"
"Singapore Jurongville Secondary School";"1.3516592,103.72909770000001"
"Singapore Jurong East, Avenue 1";"1.3440838,103.7348366"
"Singapore Amped Trampoline Park - Yo:Ha";"1.350727,103.72879799999998"
"Singapore Jurong East Sports Centre";"1.347031,103.72906899999998"
"Singapore Jurong Polyclinic";"1.3497921,103.73061899999993"
"Singapore Amped Trampoline Park, Jurong";"1.350727,103.72879799999998"
"Singapore Yuhua Market &amp";"1.3451628,103.73111510000001"
" Hawker Centre";"5.409282699999999,100.2978359"
"Singapore Dulwich College Singapore";"1.353168,103.73810300000002"
"Singapore Jurong East Sports Complex";"1.3467529,103.72866180000005"
"Singapore Dulwich College Singapore";"1.353168,103.73810300000002"
"Singapore Anytime Fitness Jurong Central at Yo:Ha";"1.350415,103.72900300000003"
" ERROR! Input:Singapore My Enchanted Crib..."
"Singapore Jurong East Street 31";"1.347135,103.73046299999999"
"Singapore The Usual Place";"1.345493,103.73067200000003"
"Singapore East Coast Park Singapore";"1.3007842,103.91218660000004"
"Singapore Lots of Love";"1.3604646,103.97018939999998"
"Singapore Jurong East ClubFitt Gym";"1.346852,103.729195"
"Singapore Blk 373 Jurong East St 32";"1.349153,103.73291119999999"
"Singapore 316 Jurong East Street 32";"1.3466829,103.73217520000003"
" ERROR! Input:Singapore Hazman Labs, Inc."
"Singapore Jurong Primary School";"1.3484018,103.73243720000005"
"Singapore Blk 312 Jurong East st 32";"1.3469954,103.73195390000001"
"Singapore Jurong Lakeside";"1.3418479,103.72819260000006"
"Singapore Jurong East Active Sg Gym";"1.346852,103.729195"
"Singapore 322 Jurong East St 31";"1.347998,103.72947999999997"
"Singapore Bukit Batok Road";"1.3624672,103.74204689999999"
"Singapore Blk 314 Jurong East St 32";"1.346891,103.733022"
"Singapore Aashiq Restaurant Pte Ltd";"1.3489433,103.72956079999994"
"Singapore USS";"1.2540421,103.82380839999996"
"Singapore Jurong Ville Secondary School";"1.3516592,103.72909770000001"
"Singapore Blk 331 Jurong East Avenue 1";"1.350825,103.73045100000002"
"Singapore Jurong East Street 32";"1.3472214,103.73371529999997"
"Singapore Omocha Village";"1.345029,103.73039790000007"
"Singapore Jurong Nhg Polyclinic";"1.3497921,103.73061899999993"
" ERROR! Input:Singapore Baiti Jannati St 24"
"Singapore Jurong East Blk 320";"1.3507264,103.73023490000003"
"Singapore Ikoi @ Hotel Miramar";"1.28832,103.83744879999995"
"Singapore Joo Siah Bak Koot Teh ?????";"1.344528,103.73142299999995"
"Singapore Blk 347 Jurong East Hawker Centre";"1.3451628,103.73111510000001"
"Singapore Smoothie House";"1.283981,103.8510556"
"Singapore Compass One";"1.3920514,103.89507279999998"
" ERROR! Input:Singapore Happy Mothers Day"
"Singapore Compass Point, Singapore";"1.3920514,103.89507279999998"
"Singapore Rivervale Drive";"1.3876238,103.90495680000004"
"Singapore Compassvale Lane";"1.3855032,103.89870629999996"
"Singapore Sengkang";"1.3868121,103.89144329999999"
"Singapore North Vista Secondary School";"1.38121,103.8990751"
"Singapore Riversound Residence";"1.381171,103.90245189999996"
"Singapore Austville Residences";"1.3813387,103.90138300000001"
"Singapore Seng Kang Kopitiam Square";"1.3914336,103.89355590000002"
"Singapore La Fiesta Sengkang Square";"1.3893752,103.89580139999998"
"Singapore Compassvale Walk";"1.3895539,103.89872590000004"
"Singapore The Rivervale Condominium";"1.3804989,103.89834180000003"
"Singapore Sengkang Community Club";"1.3927635,103.8940278"
"Singapore Aloha Resort Changi";"1.3895727,103.97809499999994"
"Singapore Canton Paradise";"1.3067344,103.78854490000003"
"Singapore Starbucks Singapore";"1.3616635,103.99132259999999"
"Singapore Swensens";"1.355855,103.98958600000003"
"Singapore Compass Height";"1.3917479,103.89619210000001"
"Singapore Sengkang Compassvale";"1.3942864,103.90041450000001"
"Singapore Compassvale Beacon";"1.385485,103.89972399999999"
"Singapore Compass One";"1.3920514,103.89507279999998"
"Singapore The Luxurie";"1.3891732,103.89643380000007"
"Singapore Rivervale Walk";"1.3834408,103.90084819999993"
" ERROR! Input:Singapore Westminster Abbey, London"
"Singapore Rivervale Plaza";"1.385387,103.90186530000005"
"Singapore Sengkang Public Library";"1.391944,103.89505099999997"
"Singapore Canton Paradise, Compass Point";"1.3921131,103.89538770000001"
"Singapore The Luxurie Singapore";"1.3891732,103.89643380000007"
"Singapore Park Green Condominium";"1.3806816,103.89996689999998"
"Singapore Swensens � Compass Point";"1.3920104,103.89521279999997"
"Singapore Happy Weekend!";"1.279466,103.844022"
"Singapore Pizza Hut @ Compass Point";"1.3921018,103.89541689999999"
"Singapore Jacks Place Compasspoint";"1.2930939,103.83188270000005"
"Singapore Yakun Kaya Toast";"1.285977,103.84422119999999"
"Singapore Sengkang MRT/LRT Station";"1.3915277,103.89541610000003"
"Singapore Punggol Promenade Nature Walk";"1.4068762,103.9187564"
"Singapore St. John Island";"1.2166667,103.85000000000002"
"Singapore S.E.A AQUARIUM";"1.258305,103.82047"
"Singapore Olivia &amp";"1.2958631,103.85851479999997"
" Co.";"39.5500507,-105.78206740000002"
"Singapore Paradise Hotpot";"1.3924366,103.89488979999999"
