"Input";"Coordinates"
"Singapore Sengkang MRT/LRT Station";"1.3915277,103.89541610000003"
"Singapore Olio Cafe @ Compass Point";"1.3920514,103.89507279999998"
"Singapore Sakae Sushi@compass Point";"1.39238,103.89493240000002"
"Singapore Compassvale Arcadia";"1.383001,103.897782"
"Singapore Maki-San at Compass One";"1.392021,103.8948967"
"Singapore Homeeeeeeeeeeeee!!";"1.36603,103.86126100000001"
"Singapore Rivervale Plaza";"1.385387,103.90186530000005"
"Singapore Hello Kitty Land at Puteri Harbour";"1.4168389,103.65692289999993"
"Singapore Hello Kitty Town, Puteri Harbour";"1.4168389,103.65692289999993"
"Singapore Hello Kitty Town";"1.4168389,103.65692289999993"
"Singapore Puteri Harbour";"1.417859,103.65631099999996"
"Singapore Pinewood Studio Malaysia,johor Bahru";"1.4088937,103.63745640000002"
"Singapore Puteri Harbour Nusajaya";"1.419078,103.66223109999999"
"Singapore Hotel Grand Intercontinental, Langkawi";"6.327374400000001,99.83709980000003"
"Singapore Bulim Depot";"1.3606167,103.70636300000001"
"Singapore Lim Chu Kang Camp 1";"1.383786,103.69985099999997"
"Singapore 4SIR, Lim Chu Kang Camp 1";"1.383786,103.69985099999997"
"Singapore Bulim Bus Depot";"1.3606167,103.70636300000001"
"Singapore Tower Transit Bulim Depot";"1.3606167,103.70636300000001"
" ERROR! Input:Singapore Lim Chu Kang (40 Lamp Posts)"
"Singapore Lim Chu Kang Camp 1 4 Sir";"1.383786,103.69985099999997"
"Singapore Esplanate Theatre";"1.2897934,103.85581660000003"
"Singapore Bulim Bus Depot";"1.3606167,103.70636300000001"
" ERROR! Input:Singapore Death Star"
"Singapore Shalom Baptist Chapel";"1.3726018,103.71060490000002"
"Singapore Teen Challenge At Old Chua Chu Kang";"1.3722264,103.70139960000006"
"Singapore Calvary Tengah BP Church";"1.3724865,103.71056399999998"
"Singapore 4 SIR";"1.383786,103.69985099999997"
"Singapore Tengah, Singapore";"1.3555189,103.73081449999995"
"Singapore PIE";"1.3327345,103.81623669999999"
"Singapore Teen Challenge Singapore";"1.3722264,103.70139960000006"
"Singapore Murai Camp";"1.3880097,103.70027430000005"
"Singapore Shalom Baptist Chapel";"1.3726018,103.71060490000002"
"Singapore Kranji Camp 2";"1.3986495,103.74295970000003"
"Singapore Stupid School";"22.7546496,75.90094950000002"
"Singapore Jewish Cemetery";"1.3715002,103.69922309999993"
"Singapore Dubai International Airport - DXB";"25.2531745,55.36567279999997"
"Singapore Civil Defence Acadamy";"1.366577,103.69212300000004"
"Singapore Lt2a @ Ntu";"1.3466631,103.68137320000005"
"Singapore Cleantech";"1.3550629,103.69229919999998"
"Singapore Murai Urban Training Facility (MUTF)";"1.3935686,103.69268169999998"
" ERROR! Input:Singapore Inside Bus 172"
"Singapore Dapur Kubur Singapore Pte Ltd";"1.2758107,103.84594919999995"
"Singapore Singapore Jalan Bahar";"1.3591783,103.69418359999997"
"Singapore Lim Chu Kang Lawn Cemetery";"1.379829,103.68902300000002"
"Singapore Sungei Tengah Lodge";"1.431967,103.75988400000006"
"Singapore Planet Paradise";"1.2982807,103.85610280000003"
" ERROR! Input:Singapore 4th Battalion Singapore Infantry Regiment"
"Singapore Pizza Hut";"1.3775015,103.95499240000004"
"Singapore 4 SIR(LIM CHU KANG CAMP 1)";"1.383786,103.69985099999997"
"Singapore Kampong Tengah, Singapore";"1.3892191,103.90705739999999"
"Singapore Lim Chu Kang Camp2";"1.3752732,103.69685290000007"
" ERROR! Input:Singapore 4SIR TeamBRAVO!"
"Singapore Lim Chu Kang Camp";"1.3752732,103.69685290000007"
"Singapore Taxi";"1.3599134,103.83717580000007"
"Singapore Bt.Gombak MRT";"1.3593357,103.751983"
"Singapore Chao chu kang cemetery Path 15";"1.3815149,103.69576729999994"
"Singapore Muslim Cementery";"1.3045947,103.85855850000007"
"Singapore Tower Transit Singapore";"1.3606167,103.70636300000001"
"Singapore Kushinbo@jurong Point";"1.3392559,103.70657329999995"
" ERROR! Input:Singapore Planet Krypton, sector 2813"
" ERROR! Input:Singapore 4SIR Guardroom"
"Singapore Fernvale Residence";"1.3941105,103.87659110000004"
"Singapore Seletar Mall@ Fernvale";"1.3921471,103.87592540000003"
"Singapore Fernvale Sengkang";"1.391935,103.87614200000007"
"Singapore Petopia International";"1.383389,103.875583"
"Singapore The Seletar Mall";"1.3913646,103.87613169999997"
"Singapore Sengkang Sports and Recreation Centre";"1.3964638,103.88683620000006"
"Singapore Seng Kang Riverside Park";"1.3982,103.88388329999998"
"Singapore Sengkang Hockey Stadium";"1.3953373,103.88703420000002"
"Singapore Fernvale Rivergrove";"1.3966321,103.88051610000002"
"Singapore Fernvale Riverbow";"1.3904426,103.88050069999997"
"Singapore Church of St Vincent de Paul";"1.382347,103.87636500000008"
"Singapore Sengkang Swimming Complex";"1.396759,103.88669099999993"
"Singapore Anchorvale Horizon";"1.3953024,103.88807129999998"
"Singapore Fernvale Link";"1.3936296,103.87907769999993"
"Singapore The Greenwich";"1.387483,103.86935700000004"
"Singapore Greenw�ch V";"1.387483,103.86935700000004"
"Singapore Anchorvale Road, Sengkang";"1.3932076,103.8872566"
"Singapore Tiong Bahru";"1.2869253,103.82842900000003"
"Singapore Kampong Lorong Buangkok";"1.383341,103.87813299999993"
"Singapore Kampong Lorong Buangkok";"1.383341,103.87813299999993"
"Singapore McDonalds Sengkang Sports Complex";"1.3968326,103.88731170000005"
"Singapore Shaw Theatres at Seletar Mall";"1.391244,103.87627120000002"
"Singapore Seletar Hills Estate";"1.3869314,103.86878009999998"
"Singapore The Coffee Bean &amp";"1.275896,103.84591699999999"
" Tea Leaf @ Greenwich V";"1.3875334,103.86928439999997"
"Singapore H2O Residences Singapore";"1.3927656,103.87923219999993"
"Singapore Seletar Hills Estate, Singapore";"1.3869314,103.86878009999998"
"Singapore Coral Spring";"1.3911075,103.87767639999993"
"Singapore Anchorvale Community Centre";"1.3970306,103.88668050000001"
"Singapore Jalan Kayu-Fernvale";"1.394268,103.87313599999993"
"Singapore Song Fa Bak Kut Teh At Seletar Mall";"1.3916459,103.87608360000002"
" ERROR! Input:Singapore Central World, Bangkok"
"Singapore Oxygen Performance Grooming";"1.377918,103.87541399999998"
"Singapore ActiveSG Sengkang Sports Centre";"1.3968769,103.88641310000003"
"Singapore Starbucks @ The Seletar Mall";"1.3913101,103.87590879999993"
"Singapore Pietro Ristorante Italiano";"1.3832418,103.87607849999995"
"Singapore Pei Hwa Secondary";"1.3906452,103.87846030000003"
"Singapore The Topiary EC";"1.3888959,103.87279569999998"
"Singapore Buangkok Cresent";"1.3821115,103.8799444"
"Singapore Hokey Pokey";"1.3911526,103.87591640000005"
"Singapore Awfully Chocolate @ Greenwich V";"1.3877106,103.86920029999999"
"Singapore NorthStar@AMK";"1.3775256,103.8756181"
"Singapore Pietro Ristorante Italiano";"1.3832418,103.87607849999995"
"Singapore Orchard Road Singapore";"1.3016514,103.8380588"
"Singapore Sengkang Riverside Park and Punggol Park Connector";"1.3982,103.88388329999998"
"Singapore Seletar Park Residence Singapore";"1.3865972,103.86860300000001"
"Singapore Saizeriya at Hougang 1";"1.3754563,103.87943289999998"
"Singapore Buangkok Crescent 986B";"1.3822446,103.87971340000001"
"Singapore Punggol Park Connector";"1.4093229,103.89778649999994"
"Singapore Jurong Port Singapore";"1.3132513,103.71934069999998"
"Singapore Jurong Shipyard Pte Ltd";"1.298086,103.74977109999998"
"Singapore Jurong Island Highway";"1.292135,103.71175619999997"
"Singapore Singapore Refining Company";"1.281595,103.71401200000003"
"Singapore Rotary Engineering Limited";"1.3250411,103.6364873"
"Singapore Jurong Island, SRC Site";"1.281595,103.71401200000003"
"Singapore Jurong shipyard pte ltd (JSL)";"1.3047077,103.7039264"
"Singapore Jurong Port-J4 Singapore";"1.3132513,103.71934069999998"
"Singapore IndoBox Jem";"1.3049882,103.83145569999999"
