"Input";"Coordinates"
"Singapore ITE College West Auditorium";"1.3748868,103.75180509999996"
"Singapore Bikini Bottom";"1.2934287,103.83200770000008"
"Singapore Stagmont Camp";"1.3847296,103.75262040000007"
"Singapore Chua Chu Kang Community Centre";"1.3812688,103.75183949999996"
"Singapore Bukit Batok 4th HQ Division";"1.3730243,103.75237219999997"
"Singapore Methodist Church of The Incarnation";"1.3798874,103.75365799999997"
" ERROR! Input:Singapore Holy Shit"
"Singapore Blk 143 Teck Whye Coffee Shop";"1.3803586,103.75342009999997"
"Singapore ITE College West Event Piazza";"1.3748868,103.75180509999996"
"Singapore Teck Whye Primary School";"1.3837636,103.75371740000003"
"Singapore SweetLovingHome";"1.3012586,103.83856059999994"
"Singapore McDonalds Chua Chu Kang CC";"1.3811561,103.75208629999997"
"Singapore Saz Home";"1.318752,103.63947499999995"
"Singapore Perth, Australia";"-31.9407092,115.9747228"
"Singapore ITE Amber@West";"1.374852,103.75174600000003"
"Singapore Phillipines";"14.4847751,121.02324139999996"
"Singapore Teck Whye LRT Station";"1.376823,103.75290700000005"
"Singapore Pioneer JC";"1.384627,103.75395100000003"
"Singapore JCUBE MALL, Jurong East, Singapore";"1.3332358,103.74022949999994"
"Singapore Bazaar Ramadhan @ Geylang Serai";"1.3167284,103.8982767"
"Singapore Paris, Eiffel Tower";"48.85837009999999,2.2944813000000295"
"Singapore Harbourfront";"1.264325,103.82030600000007"
"Singapore Teck Whye Market";"1.3800485,103.7522788"
"Singapore Chua Chu Kang Community Club";"1.3812688,103.75183949999996"
"Singapore Sentosa";"1.2494041,103.83032090000006"
"Singapore Choa Chu Kang Community Club";"1.3812688,103.75183949999996"
"Singapore Ite College West";"1.3748868,103.75180509999996"
"Singapore ??????";"1.352083,103.81983600000001"
"Singapore Newton Hawker Center";"1.3119888,103.83957420000002"
"Singapore Bukit Panjang";"1.3774142,103.77194980000002"
"Singapore Fajar Hills";"1.3809364,103.7702246"
"Singapore Bukit Panjang, Singapore";"1.3774142,103.77194980000002"
"Singapore Bukit Panjang Plaza Shopping Centre";"1.3799315,103.76430110000001"
"Singapore Segar Gardens";"1.38768,103.77239199999997"
"Singapore The Gym Nation";"1.373526,103.76317900000004"
"Singapore Hillion Mall";"1.378446,103.76342729999999"
"Singapore Blossom Residences";"1.3892548,103.77022139999997"
"Singapore Tioman Island - Malaysia";"2.7902494,104.16984630000002"
"Singapore Fajar Road";"1.3830868,103.76941290000002"
"Singapore Segar Meadows";"1.3882014,103.77152890000002"
"Singapore Segar Vale";"1.3887346,103.77018010000006"
"Singapore Al-Iman Mosque";"1.3781164,103.77277370000002"
"Singapore Senja-Cashew Community Club";"1.3815626,103.76466149999999"
"Singapore Segar Grove";"1.3887678,103.77135829999997"
"Singapore Singapore City, Singapore";"1.3553794,103.86774439999999"
"Singapore Churros Factory Junction 10";"1.37978,103.76038300000005"
"Singapore Bukit Panjang Ring Rd";"1.3863791,103.76454660000002"
"Singapore Bukit Panjang Community Club";"1.376553,103.77064610000002"
"Singapore Petir Road";"1.3746538,103.77136500000006"
