,,,,,
AMOY STREET FOOD CENTRE,02-87,5.65,HALAL COOKED FOOD,$718.00,Aug-2013
,,,,,
AMOY STREET FOOD CENTRE,02-87,5.65,HALAL COOKED FOOD,"$1,000.00",Mar-2015
,,,,,
AMOY STREET FOOD CENTRE,02-92,5.65,INDIAN CUISINE,$900.00,Jul-2013
,,,,,
AMOY STREET FOOD CENTRE,02-92,5.65,INDIAN CUISINE,$500.00,May-2015
,,,,,
AMOY STREET FOOD CENTRE,02-97,5.70,DRINKS,"$2,788.00",Apr-2015
,,,,,
AMOY STREET FOOD CENTRE,02-97,5.70,COOKED FOOD,"$2,708.00",May-2016
,,,,,
AMOY STREET FOOD CENTRE,02-97,5.70,COOKED FOOD,"$3,500.00",Dec-2016
,,,,,
AMOY STREET FOOD CENTRE,02-99,5.65,COOKED FOOD,"$3,800.00",Mar-2015
,,,,,
AMOY STREET FOOD CENTRE,02-99,5.65,INDIAN CUISINE,$305.00,Aug-2013
,,,,,
AMOY STREET FOOD CENTRE,02-99,5.65,INDIAN CUISINE,"$1,056.80",Apr-2014
,,,,,
AMOY STREET FOOD CENTRE,02-99,5.65,COOKED FOOD,"$1,618.00",Jan-2016
,,,,,
AMOY STREET FOOD CENTRE,02-104,5.68,COOKED FOOD,"$3,008.00",Sep-2014
,,,,,
BEO CRESCENT MARKET,01-91,9.29,HALAL COOKED FOOD,$899.99,Jul-2014
,,,,,
BEO CRESCENT MARKET,01-92,6.95,HALAL COOKED FOOD,"$1,652.00",Jan-2013
,,,,,
BERSEH FOOD CENTRE,01-01,7.29,COOKED FOOD,$688.00,May-2012
,,,,,
BERSEH FOOD CENTRE,01-01,7.29,COOKED FOOD,$158.00,Jan-2013
,,,,,
BERSEH FOOD CENTRE,01-01,10.08,COOKED FOOD,$488.00,Feb-2014
,,,,,
BERSEH FOOD CENTRE,01-01,10.08,COOKED FOOD,$626.00,Nov-2014
,,,,,
BERSEH FOOD CENTRE,01-03,15.00,COOKED FOOD,"$1,988.00",Jan-2016
,,,,,
BERSEH FOOD CENTRE,01-03,15.00,COOKED FOOD,$508.00,Sep-2016
,,,,,
BERSEH FOOD CENTRE,01-05,7.29,COOKED FOOD,"$1,008.00",Jun-2016
,,,,,
BERSEH FOOD CENTRE,01-06,7.29,COOKED FOOD,$759.00,May-2012
,,,,,
BERSEH FOOD CENTRE,01-08,7.29,HALAL COOKED FOOD,$325.60,Nov-2014
,,,,,
BERSEH FOOD CENTRE,01-08,7.29,INDIAN CUISINE,$355.00,Aug-2013
,,,,,
BERSEH FOOD CENTRE,01-09,7.29,DRINKS,$300.00,Aug-2013
,,,,,
BERSEH FOOD CENTRE,01-09,7.29,HALAL COOKED FOOD,$201.00,Oct-2014
,,,,,
BERSEH FOOD CENTRE,01-09,7.29,HALAL COOKED FOOD,$500.00,Oct-2016
,,,,,
BERSEH FOOD CENTRE,01-10,7.29,COOKED FOOD,$166.00,May-2012
,,,,,
BERSEH FOOD CENTRE,01-10,7.29,COOKED FOOD,"$1,000.00",Sep-2013
,,,,,
BERSEH FOOD CENTRE,01-10,7.29,HALAL COOKED FOOD,$100.00,Mar-2014
,,,,,
BERSEH FOOD CENTRE,01-10,7.29,INDIAN CUISINE,$150.00,Mar-2015
,,,,,
BERSEH FOOD CENTRE,01-10,7.29,INDIAN CUISINE,$150.00,Nov-2016
,,,,,
BERSEH FOOD CENTRE,01-11,7.29,COOKED FOOD,$350.00,Feb-2013
,,,,,
BERSEH FOOD CENTRE,01-11,7.29,COOKED FOOD,$150.00,Oct-2013
,,,,,
BERSEH FOOD CENTRE,01-11,7.29,COOKED FOOD,$608.00,Sep-2015
,,,,,
BERSEH FOOD CENTRE,01-11,7.29,COOKED FOOD,$628.00,Jan-2016
,,,,,
BERSEH FOOD CENTRE,01-11,7.29,INDIAN CUISINE,$150.00,Oct-2016
,,,,,
BERSEH FOOD CENTRE,01-12,7.29,COOKED FOOD,"$1,000.00",Mar-2012
,,,,,
BERSEH FOOD CENTRE,01-12,7.29,HALAL COOKED FOOD,$500.00,Nov-2014
,,,,,
BERSEH FOOD CENTRE,01-12,7.29,HALAL COOKED FOOD,$500.00,Apr-2015
,,,,,
BERSEH FOOD CENTRE,01-12,7.29,INDIAN CUISINE,$50.00,Jun-2013
,,,,,
BERSEH FOOD CENTRE,01-12,7.29,HALAL COOKED FOOD,$100.00,Dec-2015
,,,,,
BERSEH FOOD CENTRE,01-13,7.29,HALAL COOKED FOOD,$50.00,Jul-2014
,,,,,
BERSEH FOOD CENTRE,01-13,7.29,HALAL COOKED FOOD,$200.00,Mar-2015
,,,,,
BERSEH FOOD CENTRE,01-13,7.29,INDIAN CUISINE,$588.00,Apr-2014
,,,,,
BERSEH FOOD CENTRE,01-13,7.29,HALAL COOKED FOOD,$100.00,Jan-2016
,,,,,
BERSEH FOOD CENTRE,01-16,7.29,COOKED FOOD,$608.00,Apr-2012
,,,,,
BERSEH FOOD CENTRE,01-16,7.29,COOKED FOOD,$732.00,Sep-2012
,,,,,
BERSEH FOOD CENTRE,01-16,7.29,COOKED FOOD,$555.00,Jun-2013
,,,,,
BERSEH FOOD CENTRE,01-16,7.29,COOKED FOOD,"$1,888.00",Feb-2016
,,,,,
BERSEH FOOD CENTRE,01-16,7.29,DRINKS,$988.00,Sep-2016
,,,,,
BERSEH FOOD CENTRE,01-18,7.29,COOKED FOOD,$488.00,May-2012
,,,,,
BERSEH FOOD CENTRE,01-18,7.29,HALAL COOKED FOOD,$53.30,Feb-2014
,,,,,
BERSEH FOOD CENTRE,01-18,7.29,HALAL COOKED FOOD,$11.00,Nov-2014
,,,,,
BERSEH FOOD CENTRE,01-18,7.29,INDIAN CUISINE,$201.00,Feb-2013
,,,,,
BERSEH FOOD CENTRE,01-18,7.29,INDIAN CUISINE,$200.00,Oct-2013
,,,,,
BERSEH FOOD CENTRE,01-18,7.29,INDIAN CUISINE,$150.00,Mar-2015
,,,,,
BERSEH FOOD CENTRE,01-18,7.29,HALAL COOKED FOOD,$102.00,Jan-2016
,,,,,
BERSEH FOOD CENTRE,01-19,7.29,HALAL COOKED FOOD,$500.00,Apr-2013
,,,,,
BERSEH FOOD CENTRE,01-19,7.29,HALAL COOKED FOOD,$10.00,Jan-2014
,,,,,
BERSEH FOOD CENTRE,01-19,7.29,HALAL COOKED FOOD,"$1,500.00",Feb-2015
,,,,,
BERSEH FOOD CENTRE,01-19,7.29,HALAL COOKED FOOD,$102.00,Jan-2016
,,,,,
BERSEH FOOD CENTRE,01-22,7.29,COOKED FOOD,$510.00,Apr-2013
,,,,,
BERSEH FOOD CENTRE,01-22,7.29,COOKED FOOD,"$1,018.00",Jul-2016
,,,,,
BERSEH FOOD CENTRE,01-24,7.29,COOKED FOOD,$510.00,Apr-2013
,,,,,
BERSEH FOOD CENTRE,01-24,7.29,COOKED FOOD,$850.00,Dec-2013
,,,,,
BERSEH FOOD CENTRE,01-24,7.29,CUT FRUITS,"$2,111.00",Apr-2012
,,,,,
BERSEH FOOD CENTRE,01-24,7.29,COOKED FOOD,"$1,200.00",Dec-2015
,,,,,
BERSEH FOOD CENTRE,01-25,7.29,COOKED FOOD,"$1,008.00",Jun-2016
,,,,,
BERSEH FOOD CENTRE,01-25,7.29,COOKED FOOD,$600.00,Sep-2016
,,,,,
BERSEH FOOD CENTRE,01-25,7.29,COOKED FOOD,$850.00,Jan-2017
,,,,,
BERSEH FOOD CENTRE,01-26,7.29,COOKED FOOD,$850.00,May-2012
,,,,,
BERSEH FOOD CENTRE,01-26,7.29,COOKED FOOD,$591.00,Jun-2013
,,,,,
BERSEH FOOD CENTRE,01-26,7.29,COOKED FOOD,$820.00,Jan-2014
,,,,,
BERSEH FOOD CENTRE,01-26,7.29,COOKED FOOD,$639.00,Jul-2014
,,,,,
BERSEH FOOD CENTRE,01-26,7.29,COOKED FOOD,$352.00,May-2015
,,,,,
BERSEH FOOD CENTRE,01-26,7.29,COOKED FOOD,"$1,100.00",Oct-2012
,,,,,
